,Scores,Episode length
0,-140.76629425654835,98
1,-187.6226068519122,73
2,-108.01956274091862,83
3,-288.48143082409825,60
4,-381.978596634091,69
5,-386.05245371573454,67
6,-265.5832760704302,68
7,-355.2539299780267,62
8,-111.82077103883529,83
9,-310.3119692161249,70
10,-273.9835424478214,59
11,-228.1316255368066,52
12,-268.59446017187577,59
13,-524.6425823045788,77
14,-106.12809965107584,82
15,-116.91047218915992,53
16,-159.36961876626447,73
17,-122.43845784225914,72
18,-93.32763937773657,80
19,-94.4174335975967,87
20,-110.47932430558797,67
21,-74.51074213780038,52
22,-93.61616529739257,89
23,-84.0349441940113,88
24,-123.3315718878969,78
25,-96.47243849022189,53
26,-99.77842639615679,59
27,-92.26578308383915,61
28,-69.14861110933774,67
29,-100.0,81
30,-128.35215788160048,75
31,-99.20760766386317,75
32,-79.83899530511127,69
33,-118.35698458183717,71
34,-110.83332270872077,71
35,-83.95601507364069,91
36,-148.2132590725218,74
37,-85.3535589194181,83
38,-92.43412434582768,68
39,-100.32781198784437,50
40,-67.80865403442033,60
41,-97.19009732886292,60
42,-75.84658619095109,61
43,-100.65663044893236,54
44,-77.26360800577305,60
45,-100.2969772264961,88
46,-111.28471158000025,68
47,-116.96505038154964,62
48,-78.07119450315002,80
49,-90.3454351697792,53
50,-94.69980524730556,82
51,-74.4846300112483,59
52,-82.14461240589961,89
53,-100.35744353367323,56
54,-54.52631444180042,62
55,-92.52710313198196,75
56,-143.04359725859555,80
57,-98.25890766771008,57
58,-75.67100687364527,63
59,-101.47383132944759,85
60,-99.0024749026812,89
61,-98.36214792262186,54
62,-81.9586546598552,71
63,-79.40976853885141,87
64,-76.00274486823008,87
65,-107.02437924274827,72
66,-117.68016669828691,75
67,-93.77725575281235,57
68,-142.07190955596667,78
69,-75.08498287400036,69
70,-103.47891582479807,52
71,-126.98515244109541,59
72,-85.34201185457306,78
73,-54.54630056168037,72
74,-85.64826155135503,52
75,-97.76111978434858,79
76,-105.93454271046818,70
77,-97.47690537531082,52
78,-120.35165045576446,76
79,-119.24589544805528,76
80,-93.72867873171941,55
81,-73.54206292052115,63
82,-98.64844276646556,73
83,-67.71465016034918,53
