,Scores,Episode length
0,-97.00819022809651,73
1,-179.01181735452786,88
2,-184.70656874088482,86
3,-206.3802982851147,54
4,-235.041577211726,52
5,-100.0,81
6,-208.44728915201432,52
7,-106.60581564210432,82
8,-296.70166292947056,58
9,-310.368986336758,61
10,-229.6074853927607,55
11,-251.3471001979263,62
12,-344.39418449913467,70
13,-100.0,81
14,-129.39248217857892,84
15,-120.19130143887898,89
16,-133.76695014592792,50
17,-72.40678712079676,50
18,-78.69083010729736,62
19,-76.2798398249212,54
20,-137.91708612224642,79
21,-248.80660339987503,96
22,-115.90262705841184,77
23,-100.56625115189567,58
24,-86.09750027449019,62
25,-86.00907785054639,60
26,-117.39809666217687,79
27,-102.04036808670631,55
28,-65.12802130560678,65
29,-95.88268905421035,69
30,-90.93534815825404,69
31,-98.44319747960989,91
32,-136.53568804302333,78
33,-128.6937082980399,59
34,-96.3888309985089,57
35,-121.13217998894669,88
36,-101.47474448282708,52
37,-88.25377130008786,56
38,-59.6091457212313,90
39,-75.83354602144112,88
40,-83.94539053375959,53
41,-110.71746148442813,78
42,-122.63682018464976,89
43,-87.70973449188102,51
44,-70.57666980347938,55
45,-83.74079402850279,82
46,-79.18317854129913,83
47,-117.92256686242055,79
48,-100.0,81
49,-115.77638043887771,68
50,-77.03363957986681,90
51,-86.76630890146677,68
52,-86.91622114309175,57
53,-71.26596080684197,53
54,-152.39735327696621,79
55,-149.51091101841376,78
56,-82.94394408194054,82
57,-76.67928056459311,63
58,-154.00277528028641,80
59,-112.3505746204873,71
60,-108.44764873665252,89
61,-116.19112237216609,63
62,-151.8339478627617,76
63,-90.33793007825847,88
64,-103.61991124378028,56
65,-102.71907861684895,66
66,-96.590351195874,86
67,-105.81315674689765,61
68,-92.48892379410816,53
69,-94.43392810482223,79
70,-130.39175017704218,78
71,-78.70286080931092,83
72,-96.34014866872565,52
73,-73.05229789224748,73
74,-104.8751065815315,65
75,-101.51080411912716,58
76,-80.3343432631629,70
77,-93.5469238204233,71
78,-81.4269370686713,85
79,-112.5464336773309,77
80,-104.13903234077426,56
81,-82.52633642850094,65
82,-70.48337567927263,53
83,-71.6114372489813,63
84,-78.55094352918275,60
85,-87.81221524247263,59
86,-102.32862332244827,86
87,-201.3385466427809,79
88,39.967273955627775,88
89,-89.61179366312373,79
90,-84.31413051486498,84
91,-81.90526428288217,55
92,-71.18405000051672,66
93,-102.05433172444992,84
94,-87.43855429676879,58
95,-119.53682562706092,67
96,-111.18197916395576,54
97,-134.5644287036414,70
98,-103.2512175298325,75
99,-131.25701160031792,65
100,-79.73936069932753,55
101,42.74796958932703,77
102,-80.83326765847326,52
103,-119.77009494748222,76
104,-107.56808527919392,59
105,-102.12059616328341,77
106,-103.29830151345811,63
107,-116.55952748008957,74
108,-135.1758709295876,72
109,-69.01269660468225,67
110,-93.52752902186245,78
111,80.33063157205544,74
112,30.27611902352976,63
113,-107.47368388001928,66
114,-159.62888933109798,75
115,-76.14881409728943,67
116,-94.22116858298673,64
117,-73.57984618512273,55
118,-99.47574951732946,57
119,-112.28076920351364,78
120,65.98544942590439,64
121,-95.26797019651545,60
122,-85.37724151128549,57
123,-110.75231647309519,70
124,-105.37854479269149,76
125,-86.56523355448758,86
126,-96.56271163633403,61
127,-86.76099751735774,62
128,-112.20128250736354,61
129,-78.98304007462221,68
130,-43.22690951017651,54
131,-111.91759740802183,58
132,-115.74684892570247,66
133,-95.17255049649458,60
134,-106.16006675058242,187
135,-110.33764292435677,101
136,-77.17451437601352,63
137,-110.37218510934713,74
138,-5.517220901640172,60
139,-194.36930450998227,97
140,-67.69500258485022,82
141,-92.95015850521091,59
142,-93.21061010365031,71
143,75.06322031686182,68
144,-97.45928591507692,58
145,-108.77787729434579,55
146,-55.42931441916144,50
147,-123.1369586055938,69
148,-80.536375176972,68
149,-75.43330044422396,72
150,-90.55642065473239,85
151,-102.6592266027242,61
152,-106.04200791610629,84
153,-124.85197785590586,70
154,-116.25129405932256,66
155,-117.72101255286466,63
156,-80.13021040861452,56
157,-72.23299232692926,78
158,-91.11203416333805,75
159,-83.21711374223304,65
160,-98.33625839082569,79
161,-102.50120963395548,64
162,-296.312683994724,94
163,-70.88545208939638,62
164,-109.7698552786294,60
165,-96.45605329619599,49
166,6.580481801187716,94
167,8.389836438663792,66
168,-85.30028120785599,60
169,-55.763449359514254,61
170,-237.0857776337745,92
171,-80.27025174595053,62
172,-123.07981076517603,61
173,-117.95823139751954,75
174,-204.85728307970567,87
175,-89.92845207335284,70
176,-120.63232994344645,92
177,-85.61792376318616,63
178,-114.30113781604229,87
179,-87.1906086685421,69
180,-90.14973277456846,64
181,-86.65591878347414,89
182,-112.04103416544797,53
183,-114.4254283531231,58
184,-92.33078317105628,58
185,-108.28362062130367,58
186,-73.21961778206662,63
187,-69.09183039386755,53
188,-71.67916899775352,90
189,-83.74339032045063,86
190,-142.72292077329638,75
191,-101.93507907324582,67
192,-87.5688558315347,89
193,-107.52489436014093,54
194,-111.28838807559694,70
195,-94.20843137664048,65
196,-113.51726369623489,65
197,-123.31458333286088,58
198,-103.15994000926784,75
199,-154.38280891347773,126
200,-249.56873304341212,104
201,-112.87835705719748,182
202,-93.00019010796802,56
203,-114.74971591669724,74
204,-105.14109830134933,166
205,-103.5700505979757,76
206,-297.370184773887,78
207,-270.92379700002175,176
208,-241.5317876691959,135
209,-408.9444528907022,152
210,-117.20089147699329,83
211,-399.0297331938985,78
212,-250.83260951257162,99
213,-220.4342789019309,99
214,-363.95604217093427,75
215,-108.93413641620957,82
216,-366.07551500334614,76
217,-138.18961133199707,134
218,-125.75306443878881,68
219,-122.57928047015956,63
220,-108.32662702084122,74
221,-88.5923914966217,57
222,-98.19233539133498,71
223,-97.01877350420611,92
224,-126.00309645409463,91
225,-175.0548792928545,102
226,-171.11799074443314,73
227,-78.74207397085074,134
228,-74.31136414230521,97
229,-102.94492555212852,99
230,-127.09819011409738,214
231,-202.64719386940408,105
232,-141.06831635295867,64
233,-98.97660747522912,52
234,-94.48997715729129,56
235,-78.09022461336008,88
236,-65.66589544142866,67
237,-101.9312410104954,58
238,-90.87757859009662,51
239,-118.00747129288146,63
240,-89.95728036951914,63
241,-91.16875715872754,59
242,-97.530633166238,58
243,-83.92943246631191,88
244,-74.73457586238297,77
245,-105.47044336916795,73
246,-96.15734023179604,65
247,-121.9930031409588,79
248,-7.611023528466262,119
249,-244.74837735185744,107
250,-92.66330339432903,100
251,-451.38517770416297,74
252,-378.95120885161737,68
253,-256.11420292568994,54
254,-189.33669954886176,50
255,-183.86859907529868,50
256,-209.7305925951286,52
257,-279.13598802727046,58
258,-259.59979742005316,55
259,-239.03292044403213,55
260,-343.91922844518547,63
261,-199.13174612203676,51
262,-108.1320791481169,82
263,-296.533293587364,61
264,-485.44014005237113,74
265,-184.8743279571195,51
266,26.380193957722327,100
267,-386.9543227014695,65
268,-100.0,121
269,-281.65769785981536,59
270,-365.37848062720803,65
271,-360.36083980314106,64
272,-225.6391709943569,54
273,-248.4991786452642,70
274,-348.76341430457484,64
275,-317.0018519495294,62
276,-142.25968262444198,84
277,-198.5882696648451,52
278,-350.11979919991654,62
279,-238.74644199891327,54
280,-576.7985128887856,78
281,-221.74923893111975,53
282,-259.4324949170371,56
283,-563.7583297332562,79
284,-565.8045364851022,79
285,-269.63559425898507,68
286,-181.8906694951164,50
287,-239.97648563638634,55
288,-348.4018453938441,64
289,-423.4853747520798,72
290,-257.8919629813882,58
291,-287.20440825662615,61
292,-212.39618467971587,53
293,-568.2663336531008,79
294,-286.694502550513,62
295,-311.9326835228463,63
296,-443.3298552892194,75
297,-272.12611427829756,58
298,-236.0038667837892,54
299,-181.86071607455608,51
300,-60.8607761688541,83
301,-384.0518008391433,69
302,-423.6742167180225,72
303,-164.8297801990825,85
304,-531.879992230698,78
305,-503.095711257827,74
306,-110.99472888296376,82
307,-552.391679579674,78
308,-501.96864858478386,74
309,-209.6080261035711,51
310,-350.089286969348,62
311,-296.50285139869686,57
312,-181.60706706277892,51
313,-331.3381881634544,79
314,-472.7792497259469,74
315,-180.50085697390966,85
316,-200.75881202505468,50
317,-379.01209329349047,68
318,-179.90252458597024,49
319,-343.81789211040166,65
320,-254.85802163906004,56
321,-394.0412899486487,77
322,-380.5647185800284,76
323,-162.56009397898552,56
324,-221.46329174035768,57
325,-226.8537977695551,57
326,-170.1155181704189,56
327,-262.4247639236904,68
328,-75.44818619964119,91
329,80.21377374361651,102
330,-78.07591302631852,74
331,-86.5001952577669,85
332,-91.73953711349213,53
333,-94.38252269925835,52
334,-71.08521723774638,53
335,-67.24303022507951,62
336,-85.82060924275183,83
337,-96.28618823921775,54
338,-114.57208090707184,90
339,-84.41984541256824,50
340,-108.74056364425599,72
341,-108.77761989173268,89
342,-105.60799403974795,57
343,-98.31209551185151,85
344,-199.00817053043738,71
345,-108.14063755962891,58
346,-80.03046077631166,87
347,-95.19199897758628,51
348,-71.33243815754838,59
349,-117.7860247576005,71
350,-109.06167266519888,53
351,-115.13211195479741,78
352,-94.42849906607071,89
353,-74.11161842306595,78
354,-125.19462134986941,126
355,-139.5679964687418,88
356,-434.91408825542555,114
357,-70.87373247336686,52
358,-80.02838848713705,54
359,-115.46072946388583,54
360,-111.76100167780605,88
361,-75.92715409919683,165
362,-70.05645145776248,69
363,-82.08309975765067,57
364,-79.28767836798889,57
365,-61.92815962302061,73
366,-168.05876136479003,95
367,-354.1625073765159,79
368,-106.94205351651249,251
369,-96.07862363924292,54
370,-101.92315560031057,93
371,-75.43607931120027,87
372,-121.23630816690316,125
373,-98.53938719737755,216
374,-76.32421574480063,91
375,-36.21790502392531,52
376,-83.12935318889544,63
377,-22.676660855183286,105
378,-184.60249038947038,180
379,-103.06285003540467,126
380,-55.976360151427855,77
381,-88.8634404771076,86
382,-87.67839591272488,82
383,-76.02432806638633,71
384,-29.472459592970353,85
385,-59.51933614608709,88
386,-78.60080624671717,113
387,-93.56851090458025,84
388,-40.30340779539995,59
389,-85.87825713702995,78
390,-98.20442080759273,71
391,-111.27862118558062,99
392,-77.10783846057016,105
393,-131.15060358804772,91
394,-112.22127885751614,106
395,-111.11013703949902,89
396,-82.16029464562742,58
397,-68.18125723279655,55
398,-5.785755178133044,97
399,-186.48742020022723,101
400,-74.64625566641881,148
401,-149.87732537028592,87
402,-147.56989522472898,148
403,-82.6707632873606,57
404,-127.76534965212178,85
405,-145.1008942998562,95
406,-100.0,161
407,-116.50214006385258,149
408,-98.7392278866051,122
409,-223.372833597591,112
410,-80.578759952359,147
411,-113.13043996056058,122
412,-104.6094123771831,84
413,-85.98409261188745,91
414,-110.80896126777338,166
415,-84.43019315351623,82
416,-90.25865355810637,74
417,-104.40605831664541,58
418,-35.28219118800513,57
419,-78.54741967196861,131
420,-176.65602675812204,120
421,-177.3462887046129,114
422,-92.93275745472727,83
423,-98.2602692479998,139
424,-145.2271830625643,92
425,-143.728957122405,96
426,-153.05363357470682,97
427,-113.45977092633936,146
428,-93.26471470455145,167
429,-185.361218710966,110
430,20.91488011117218,72
431,-96.49320065776311,139
432,-109.03201439120267,88
433,-50.10360611366003,96
434,45.13773305173953,75
435,40.03646283469641,105
436,-7.167580979926669,111
437,-99.27482798397058,148
438,-133.64336823726325,92
439,-100.15280958769608,55
440,-72.12257662807866,75
441,-107.09601450825912,71
442,-71.38125649135439,61
443,-134.10165879559344,77
444,-114.96667711713881,56
445,36.69324702503599,78
446,-89.5367191029136,126
447,-87.44759729998196,54
448,-93.38660717398099,78
449,-56.85342302731646,73
450,-91.03461048728747,100
451,-87.58833854509125,92
452,-37.878952872235985,111
453,-109.71971558771492,92
454,-95.98814502509593,156
455,-93.546877780566,51
456,-102.55239152165264,100
457,-81.93863870631667,84
458,-114.42124909906045,88
459,100.0000011648475,207
460,-68.60509831970846,54
461,-93.49145598318135,250
462,-132.68348857119176,99
463,-116.97313625338424,63
464,-125.77028599212774,68
465,-93.37243459973732,82
466,-79.72529474426031,172
467,-74.8069124856215,74
468,-85.31429240871047,86
469,-89.5559261453104,115
470,-94.74596202557066,119
471,-109.7391675475879,127
472,-119.60670198890378,89
473,-24.74177467799035,90
474,-111.86868864764024,178
475,-68.13957771316387,90
476,-99.7114523409038,122
477,-166.58033506309994,125
478,-188.39559334345478,126
479,-92.98917061926252,127
480,-106.48382101928674,106
481,-66.29248386737312,165
482,-59.06299145595932,178
483,-109.02156810866734,57
484,-127.9709245774975,164
485,-89.61710195075712,100
486,-78.39716433401793,88
487,-137.90072290964468,83
488,-115.26336551581272,113
489,-109.18886288857982,82
490,-115.60586493939354,136
491,-41.06381598874593,118
492,-97.53411603797582,123
493,-102.86210866237731,739
494,-224.96586376406177,184
495,-92.18882525902,135
496,-136.15794499778045,146
497,-144.37516014263787,120
498,-116.36772462847209,118
499,-202.7051537288814,150
500,-86.02328797146363,95
501,-131.6738376588798,96
502,-121.93011073954524,141
503,-98.57712677744975,93
504,-70.87398912503113,80
505,-108.19046213860108,96
506,-135.516735388814,177
507,-114.06566867448691,68
508,-93.10517662240287,128
509,49.17703215316749,152
510,-70.39292000397522,90
511,-161.06534117371882,112
512,-135.08264410229623,76
513,-27.735432777790535,158
514,-171.4031024849131,106
515,19.322375900520555,88
516,-78.88406636854198,130
517,-119.48507192862034,73
518,-185.81955819440358,148
519,-97.3493947890269,91
520,-81.62323066047107,174
521,-125.36927984850406,102
522,-77.56903576176704,107
523,-104.9239703763164,137
524,-124.97278390035228,77
525,-182.97568000693934,99
526,-122.67886243121329,113
527,-39.9474777298807,153
528,-119.8333594411214,101
529,-167.48942848316582,208
530,-92.13213127381307,174
531,-77.51409739547026,207
532,-39.508407146700776,70
533,-67.15827051275394,88
534,-51.73188690216368,113
535,-48.34792470932713,79
536,-63.3428375461481,107
537,-48.211444389406694,159
538,-108.42414627397201,133
539,-115.46006436012499,258
540,-110.59601494087714,95
541,-52.25253419414264,112
542,-129.01413204774676,191
543,-77.09070671821435,192
544,-66.65352596427167,94
545,-114.97577028637792,176
546,-116.22235413254003,395
547,-121.11506008251935,176
548,-79.5600460015344,118
549,-91.50799227299582,579
550,-116.36504043397623,351
551,-89.27269706523532,199
552,-107.06987050473701,363
553,-100.0,401
554,100.19350181338427,623
555,102.47473527645977,317
556,-155.35304147708226,372
557,100.00000298969229,325
558,-71.64453024136171,233
559,-85.3751831069418,320
560,-141.25764807642292,212
561,-110.56678520610494,169
562,100.00403626592077,257
563,105.62056922401723,360
564,-67.58246257253319,234
565,-66.05797731505713,238
566,-86.37852761136011,158
567,-49.25436237912509,158
568,-85.50688830927392,143
569,103.57402761081308,231
570,-36.8257734419944,113
571,-69.73051512819606,107
572,100.00012324043946,251
573,-105.64744368890732,257
574,-123.99726961590935,270
575,-80.10011148169154,222
576,-67.64088698493656,155
577,-127.39033415939784,114
578,-25.287877943513465,116
579,-40.203870176097496,99
580,-96.95542646295536,150
581,-70.25953288152326,168
582,-68.89561832643365,142
583,99.99999765634531,244
584,-68.08460474233371,127
585,-74.42601502994906,158
586,104.30845778138547,272
587,100.0253256133694,220
588,-70.3390744792188,191
589,100.00002397950617,249
590,-110.71806288041493,148
591,100.00508274925714,501
592,-5.2624156626755365,1000
593,100.00053063181437,495
594,-100.0,241
595,105.1862733671599,317
596,-97.57645969859095,228
597,100.00000792384571,284
598,100.00073814415083,496
599,-77.65289137446413,207
600,-95.06000327022241,166
601,-78.34720295380382,115
602,-97.18561400456434,142
