,Steps until goal,Reward_until_goal
0,88.0,-7193
1,68.0,-6534
2,40.0,-4572
3,637.0,-57576
4,114.0,-9565
5,57.0,-6324
6,1047.0,-80966
7,225.0,-16896
8,147.0,-9228
9,393.0,-26288
10,124.0,-4286
11,255.0,-14807
12,55.0,-3735
13,184.0,-13444
14,180.0,-13852
15,179.0,-14008
16,307.0,-23559
17,164.0,-9116
18,42.0,-2727
19,97.0,-4828
20,111.0,-5069
21,145.0,-6653
22,174.0,-8686
23,90.0,-3798
24,51.0,-2380
25,90.0,-6158
26,157.0,-9678
27,79.0,-5166
28,64.0,-4156
29,110.0,-4841
30,189.0,-9895
31,52.0,-3931
32,100.0,-7020
33,115.0,-6012
34,79.0,-4967
35,188.0,-10250
36,66.0,-3376
37,74.0,-4550
38,91.0,-4637
39,34.0,-1525
40,80.0,-4371
41,130.0,-8045
42,46.0,-2958
43,67.0,-6135
44,74.0,-2759
45,71.0,-4973
46,34.0,-2164
47,104.0,-5390
48,76.0,-4580
49,233.0,-16122
50,64.0,-6132
51,48.0,-2377
52,77.0,-4609
53,61.0,-3343
54,49.0,-2535
55,82.0,-6178
56,128.0,-8996
57,67.0,-3761
58,142.0,-9223
59,204.0,-14899
60,78.0,-4369
61,65.0,-4569
62,26.0,-721
63,70.0,-3593
64,49.0,-2549
65,50.0,-2948
66,40.0,-2526
67,92.0,-8562
68,34.0,-1724
69,68.0,-3151
70,38.0,-2126
71,50.0,-3161
72,71.0,-5371
73,121.0,-6416
74,72.0,-5016
75,54.0,-3762
76,76.0,-4950
77,128.0,-9635
78,68.0,-4160
79,68.0,-3165
80,71.0,-3964
81,44.0,-2345
82,126.0,-8027
83,48.0,-2136
84,50.0,-1555
85,57.0,-3353
86,53.0,-2340
87,31.0,-2318
88,37.0,-1528
89,81.0,-5793
90,122.0,-10809
91,41.0,-2726
92,88.0,-5772
93,30.0,-924
94,82.0,-5979
95,34.0,-1340
96,44.0,-3340
97,100.0,-5016
98,101.0,-5984
99,73.0,-4804
100,38.0,-1969
101,26.0,-948
102,46.0,-1764
103,37.0,-1968
104,81.0,-5779
105,89.0,-5588
106,71.0,-5542
107,97.0,-6790
108,25.0,-2525
109,37.0,-3333
110,58.0,-2586
111,36.0,-1925
112,28.0,-1519
113,29.0,-1321
114,53.0,-3136
115,204.0,-13677
116,87.0,-5757
117,73.0,-5743
118,45.0,-3327
119,78.0,-4582
120,159.0,-12794
121,66.0,-5551
122,69.0,-4559
123,42.0,-1945
124,50.0,-3161
125,44.0,-1577
126,51.0,-2139
127,60.0,-3768
128,73.0,-5359
129,30.0,-1521
130,87.0,-4591
131,58.0,-4534
132,72.0,-4049
133,70.0,-4417
134,58.0,-3937
135,116.0,-7420
136,28.0,-1121
137,42.0,-2144
138,59.0,-4350
139,110.0,-10755
140,38.0,-1941
141,85.0,-5357
142,42.0,-2343
143,22.0,-1115
144,81.0,-4969
145,77.0,-6812
146,52.0,-2751
147,75.0,-5375
148,20.0,-914
149,142.0,-9663
150,104.0,-7764
151,72.0,-5941
152,118.0,-9213
153,66.0,-3547
154,51.0,-4527
155,33.0,-1154
156,46.0,-2532
157,26.0,-1119
158,63.0,-4354
159,26.0,-920
160,105.0,-6983
161,64.0,-2592
162,78.0,-7155
163,86.0,-9167
164,50.0,-3531
165,27.0,-1546
166,69.0,-5966
167,41.0,-2541
168,101.0,-6410
169,39.0,-2326
170,130.0,-8401
171,114.0,-8172
172,97.0,-5041
173,28.0,-1121
174,38.0,-1557
175,47.0,-2732
176,32.0,-1537
177,28.0,-1732
178,84.0,-6763
179,32.0,-954
180,54.0,-4729
181,95.0,-6760
182,26.0,-1716
183,86.0,-5955
184,71.0,-4362
185,49.0,-2748
186,65.0,-3759
187,87.0,-7789
188,31.0,-1124
189,87.0,-6169
190,16.0,-313
191,63.0,-4539
192,66.0,-3774
193,62.0,-5135
194,89.0,-5972
195,48.0,-998
196,51.0,-3134
197,42.0,-2329
198,79.0,-6772
199,38.0,-2339
200,36.0,-1726
201,108.0,-6232
202,30.0,-1734
203,67.0,-3803
204,101.0,-7405
205,50.0,-2934
206,57.0,-3552
207,46.0,-3157
208,78.0,-5563
209,31.0,-2332
210,94.0,-7967
211,75.0,-4209
212,48.0,-2932
213,25.0,-1715
214,36.0,-2337
215,44.0,-4122
216,56.0,-2556
217,58.0,-4335
218,57.0,-2557
219,45.0,-3156
220,34.0,-942
221,76.0,-7139
222,31.0,-1522
223,40.0,-2327
224,123.0,-8635
225,44.0,-2956
226,41.0,-2328
227,94.0,-7583
228,53.0,-3534
229,38.0,-1770
230,94.0,-6403
231,66.0,-3362
232,84.0,-7360
233,18.0,-514
234,64.0,-3147
235,44.0,-2530
236,35.0,-2123
237,131.0,-6283
238,84.0,-6550
239,111.0,-8197
240,86.0,-3581
241,30.0,-924
242,38.0,-775
243,79.0,-4199
244,36.0,-1213
245,34.0,-1368
246,32.0,-2134
247,48.0,-2576
248,30.0,-1322
249,30.0,-1521
250,82.0,-7557
251,70.0,-4361
252,40.0,-2327
253,36.0,-1527
254,150.0,-10851
255,46.0,-3925
256,65.0,-5578
