,Steps until goal,Reward_until_goal
0,69.0,-6336
1,42.0,-1149
2,50.0,-4739
3,58.0,-2942
4,39.0,-2340
5,50.0,-3531
6,84.0,-5953
7,48.0,-4737
8,58.0,-3155
9,62.0,-3955
10,38.0,-2723
11,46.0,-4721
12,125.0,-8581
13,65.0,-4740
14,62.0,-3571
15,78.0,-4383
16,55.0,-2953
17,65.0,-4370
18,179.0,-12444
19,44.0,-2132
20,106.0,-8974
21,80.0,-3233
22,38.0,-1742
23,50.0,-2351
24,129.0,-6808
25,34.0,-1937
26,90.0,-6769
27,53.0,-2752
28,53.0,-4131
29,76.0,-2988
30,42.0,-2926
31,41.0,-2939
32,40.0,-1943
33,36.0,-1939
34,36.0,-2124
35,97.0,-7558
36,48.0,-2562
37,34.0,-2719
38,45.0,-2531
39,58.0,-3752
40,177.0,-13238
41,46.0,-940
42,62.0,-2960
43,48.0,-2150
44,77.0,-5220
45,116.0,-11173
46,50.0,-2365
47,86.0,-4775
48,112.0,-8013
49,51.0,-3532
50,82.0,-5354
51,50.0,-1555
52,65.0,-3560
53,88.0,-6966
54,39.0,-2525
55,31.0,-939
56,104.0,-5404
57,64.0,-4540
58,64.0,-3943
59,59.0,-3156
60,54.0,-4132
61,35.0,-1938
62,54.0,-3151
63,72.0,-4150
64,63.0,-2577
65,32.0,-1324
66,49.0,-3132
67,149.0,-10239
68,18.0,-130
69,36.0,-1328
70,67.0,-4344
71,46.0,-2546
72,40.0,-1943
73,110.0,-7386
74,45.0,-1934
75,41.0,-3522
76,76.0,-4978
77,73.0,-4577
78,49.0,-2961
79,46.0,-2375
80,84.0,-6166
81,31.0,-1934
82,33.0,-1538
83,39.0,-3122
84,22.0,-717
85,48.0,-2363
86,63.0,-4141
87,50.0,-2337
88,54.0,-4729
89,50.0,-4355
90,71.0,-4177
91,38.0,-1955
92,38.0,-1756
93,89.0,-6185
94,72.0,-5145
95,26.0,-1716
96,48.0,-2534
97,30.0,-1137
98,56.0,-2741
99,34.0,-1141
100,57.0,-2358
101,61.0,-3982
102,43.0,-2330
103,62.0,-4140
104,144.0,-9679
105,36.0,-1328
106,30.0,-1720
107,52.0,-3931
108,20.0,-331
109,48.0,-2164
110,34.0,-729
111,28.0,-1121
112,113.0,-8768
113,64.0,-4156
114,147.0,-8816
115,92.0,-6757
116,62.0,-6144
117,67.0,-5737
118,53.0,-3349
119,59.0,-3554
120,59.0,-3938
121,77.0,-5747
122,41.0,-2129
123,95.0,-4372
124,40.0,-1346
125,47.0,-2334
126,173.0,-11642
127,44.0,-2743
128,82.0,-3364
129,57.0,-3140
130,103.0,-6199
131,64.0,-2990
132,79.0,-5962
133,66.0,-3945
134,63.0,-4169
135,68.0,-4743
136,46.0,-2560
137,75.0,-3755
138,35.0,-1924
139,122.0,-8222
140,26.0,-522
141,32.0,-1921
142,139.0,-8438
143,46.0,-1764
144,94.0,-6190
145,45.0,-1948
146,72.0,-5571
147,64.0,-4341
148,24.0,-1728
149,38.0,-1543
150,27.0,-2157
151,54.0,-2554
152,69.0,-2967
153,55.0,-3138
154,58.0,-2757
155,55.0,-3735
156,116.0,-8970
157,47.0,-3329
158,38.0,-2524
159,67.0,-4955
160,58.0,-2572
161,76.0,-4353
162,63.0,-4197
163,80.0,-5977
164,34.0,-1937
165,46.0,-2745
166,69.0,-5341
167,29.0,-724
168,141.0,-11027
169,52.0,-4130
170,77.0,-4752
171,58.0,-1748
172,106.0,-6230
173,29.0,-937
174,24.0,-1714
175,79.0,-4398
176,29.0,-1136
177,40.0,-1545
178,56.0,-4347
179,24.0,-1728
180,20.0,-914
181,98.0,-5370
182,49.0,-2947
183,83.0,-6577
184,71.0,-5158
185,97.0,-6989
186,34.0,-2548
187,34.0,-1340
188,56.0,-3408
189,32.0,-1324
190,64.0,-4170
191,69.0,-3749
192,70.0,-4148
193,38.0,-2723
194,122.0,-8606
195,78.0,-5179
196,84.0,-5754
197,32.0,-1125
198,59.0,-2388
199,69.0,-5142
200,49.0,-3146
201,80.0,-4399
202,26.0,-1346
203,67.0,-2780
204,79.0,-6758
205,65.0,-4953
206,24.0,-1515
207,106.0,-6415
208,75.0,-5546
209,42.0,-2343
210,63.0,-2762
211,52.0,-2950
212,60.0,-3555
213,31.0,-1323
214,146.0,-11402
215,32.0,-1523
216,43.0,-2543
217,41.0,-2356
218,28.0,-737
219,26.0,-351
220,55.0,-3365
221,78.0,-4624
222,76.0,-4367
223,50.0,-2337
224,74.0,-4749
225,23.0,-917
226,66.0,-3376
227,58.0,-4534
228,28.0,-1334
229,39.0,-1928
230,52.0,-2936
231,46.0,-3157
232,28.0,-936
233,29.0,-1918
234,24.0,-534
235,35.0,-3118
236,70.0,-5583
237,74.0,-4976
238,137.0,-13198
239,30.0,-142
240,44.0,-2331
241,84.0,-5569
242,67.0,-3960
243,96.0,-3221
244,38.0,-2325
245,26.0,-1332
246,57.0,-3196
247,40.0,-2540
248,38.0,-3519
249,42.0,-2329
250,22.0,-518
251,43.0,-2529
252,68.0,-4345
253,50.0,-2749
254,39.0,-2326
255,81.0,-6376
256,30.0,-1137
257,31.0,-1522
258,51.0,-2736
