,Steps until goal,Reward_until_goal
0,135.0,-17787
1,83.0,-5383
2,61.0,-4464
3,82.0,-5068
4,64.0,-6813
5,60.0,-7521
6,34.0,-2321
7,431.0,-27192
8,196.0,-10712
9,86.0,-2614
10,180.0,-7226
11,96.0,-3619
12,76.0,-3770
13,249.0,-10807
14,97.0,-4971
15,108.0,-5705
16,181.0,-9475
17,20.0,-118
18,67.0,-2183
19,67.0,-2424
20,78.0,-2407
21,125.0,-4643
22,69.0,-1574
23,174.0,-4863
24,75.0,-2788
25,54.0,-749
26,74.0,-2972
27,96.0,-4401
28,86.0,-4363
29,50.0,-1541
30,68.0,-2837
31,60.0,-1593
32,22.0,-333
33,46.0,-1537
34,119.0,-4410
35,52.0,-2339
36,42.0,-950
37,36.0,-1143
38,164.0,-4923
39,84.0,-4005
40,40.0,-1133
41,34.0,-1127
42,32.0,-741
43,26.0,-522
44,55.0,-1560
45,106.0,-3018
46,108.0,-3446
47,34.0,-1780
48,58.0,-1975
49,112.0,-2511
50,24.0,-136
51,75.0,-5176
52,46.0,-1153
53,67.0,-1558
54,28.0,-1320
55,39.0,-1942
56,54.0,-1545
57,26.0,-763
58,41.0,-1546
59,40.0,-735
60,55.0,-2014
61,59.0,-2758
62,71.0,-3039
63,39.0,-1345
64,116.0,-6212
65,18.0,-116
66,40.0,-1943
67,84.0,-2839
68,37.0,-1741
69,29.0,-1321
70,24.0,-164
71,34.0,-558
72,27.0,-935
73,90.0,-2576
74,52.0,-1756
75,18.0,69
76,60.0,-2602
77,46.0,-1736
78,61.0,-2348
79,54.0,-1957
80,28.0,-1135
81,30.0,-1364
82,50.0,-1185
83,52.0,-1955
84,35.0,-758
85,42.0,-950
86,26.0,-920
87,54.0,-2568
88,42.0,-552
89,22.0,-319
90,52.0,-761
91,25.0,-521
92,40.0,-2128
93,30.0,-540
94,66.0,-1400
95,20.0,-516
96,30.0,-924
97,27.0,-1717
98,69.0,-4147
99,29.0,-1122
100,29.0,-1719
101,26.0,-152
102,28.0,-524
103,34.0,-1141
104,24.0,77
105,45.0,-1536
106,39.0,-1544
107,26.0,-337
108,38.0,-1030
109,30.0,-540
110,20.0,81
111,52.0,-2821
112,27.0,-921
113,36.0,-2337
114,20.0,-928
115,53.0,-2752
116,24.0,-520
117,42.0,-1547
118,50.0,-2934
119,26.0,-721
120,47.0,-1395
121,34.0,-757
122,23.0,-1343
123,31.0,-1522
124,25.0,-1118
125,28.0,-353
126,19.0,-728
127,16.0,85
128,20.0,-345
129,20.0,-530
130,26.0,-721
131,44.0,-1975
132,18.0,-130
133,33.0,-1154
134,24.0,-363
135,42.0,-1149
136,20.0,-942
137,30.0,-327
138,20.0,-317
139,37.0,-746
140,52.0,-2353
141,22.0,-1513
142,41.0,-1546
143,40.0,-1929
144,18.0,-329
145,34.0,-1127
146,30.0,-1123
147,32.0,-1736
148,42.0,-950
149,35.0,-2720
150,22.0,-916
151,41.0,-1347
152,42.0,-950
153,31.0,-925
154,44.0,-540
155,16.0,-114
156,18.0,-130
157,24.0,-520
158,18.0,-315
159,26.0,-934
160,18.0,-329
161,16.0,71
162,32.0,-954
163,46.0,-1935
164,18.0,-144
165,54.0,-2355
166,28.0,-140
167,28.0,-737
168,44.0,-2345
169,24.0,-719
170,24.0,-349
171,33.0,-2718
172,24.0,-918
173,26.0,-920
174,34.0,-1155
175,34.0,-1539
176,14.0,-524
177,32.0,-727
178,25.0,-919
179,18.0,-315
180,34.0,-558
181,18.0,-741
182,30.0,-753
183,38.0,-1941
184,22.0,-319
185,18.0,-514
186,20.0,-942
187,26.0,-920
188,26.0,-1531
189,18.0,-315
190,26.0,-536
191,26.0,-721
192,35.0,-1540
193,25.0,-521
194,42.0,-1931
195,22.0,-717
196,28.0,-339
197,32.0,-1523
198,29.0,-923
199,37.0,-1172
200,14.0,73
201,28.0,-339
202,26.0,-536
203,32.0,-1523
204,18.0,69
205,16.0,-128
206,25.0,-1132
207,36.0,-801
208,24.0,-335
209,34.0,-1937
210,53.0,-3548
211,28.0,-922
212,20.0,-345
213,20.0,-914
214,30.0,-526
215,18.0,-116
216,23.0,-732
217,28.0,-1348
218,28.0,-538
219,16.0,-725
220,54.0,-3336
221,22.0,-319
222,43.0,-2372
223,18.0,-514
224,20.0,-317
225,32.0,-1352
226,22.0,-518
227,16.0,-313
228,24.0,-349
229,27.0,-722
230,20.0,-118
231,20.0,67
232,50.0,-2152
233,30.0,-1151
234,22.0,-518
235,34.0,-928
236,28.0,-936
237,16.0,-114
238,36.0,-1726
239,28.0,-524
240,39.0,-1743
241,38.0,-1798
242,26.0,-920
243,31.0,-1934
244,24.0,-719
245,26.0,-522
246,20.0,-530
247,53.0,-1771
248,26.0,-948
249,24.0,-136
250,37.0,-1727
251,22.0,-347
252,40.0,-2753
253,18.0,-130
254,24.0,-534
255,20.0,-928
256,24.0,-321
257,22.0,-532
258,24.0,-1515
259,23.0,-917
260,20.0,-729
261,28.0,-538
262,26.0,-522
263,26.0,-735
264,29.0,-1520
265,38.0,-1728
266,30.0,-1137
267,16.0,-128
268,37.0,-1727
269,30.0,-725
270,21.0,-517
271,32.0,-1153
272,18.0,-315
273,22.0,-745
274,32.0,-926
275,38.0,-1145
276,28.0,-950
277,34.0,-942
278,26.0,-152
279,27.0,-750
280,24.0,-520
281,28.0,-936
282,20.0,-132
283,30.0,-924
284,42.0,-1362
285,20.0,-516
286,20.0,-530
287,20.0,-715
288,18.0,-514
289,28.0,-751
290,21.0,-915
291,38.0,-1344
292,14.0,87
293,36.0,-1527
294,34.0,-1340
295,34.0,-928
296,22.0,-916
297,22.0,-333
298,20.0,-729
299,26.0,-351
300,18.0,-514
301,20.0,67
