,Steps until goal,Reward_until_goal
0,44.0,-2345
1,77.0,-6571
2,32.0,-1935
3,40.0,-1360
4,66.0,-2964
5,83.0,-6762
6,82.0,-5368
7,55.0,-4147
8,42.0,-3153
9,26.0,-1318
10,47.0,-2732
11,87.0,-5572
12,39.0,-2326
13,38.0,-1585
14,64.0,-3147
15,71.0,-5755
16,52.0,-2765
17,62.0,-3955
18,38.0,-2538
19,37.0,-2736
20,72.0,-5372
21,56.0,-5527
22,25.0,-1331
23,99.0,-6778
24,52.0,-3575
25,26.0,-920
26,141.0,-9421
27,46.0,-2930
28,29.0,-1719
29,29.0,-1321
30,84.0,-3991
31,30.0,-1521
32,70.0,-3366
33,87.0,-5174
34,41.0,-2726
35,107.0,-6800
36,57.0,-3538
37,58.0,-2558
38,34.0,-2321
39,69.0,-4004
40,64.0,-3559
41,63.0,-2748
42,88.0,-7549
43,58.0,-3368
44,56.0,-3551
45,54.0,-3350
46,45.0,-2161
47,36.0,-2721
48,71.0,-3964
49,58.0,-3169
50,49.0,-4326
51,51.0,-3574
52,35.0,-2919
53,46.0,-1736
54,30.0,-1123
55,41.0,-2328
56,56.0,-4532
57,79.0,-4384
58,23.0,-1528
59,43.0,-2557
60,60.0,-3768
61,37.0,-1783
62,42.0,-2926
63,87.0,-7391
64,53.0,-4159
65,140.0,-10415
66,82.0,-5368
67,67.0,-5566
68,34.0,-2136
69,51.0,-4541
70,83.0,-4758
71,111.0,-5439
72,42.0,-3935
73,79.0,-4768
74,44.0,-1947
75,36.0,-1555
76,47.0,-2931
77,44.0,-1535
78,44.0,-2146
79,76.0,-6741
80,97.0,-5041
81,170.0,-11269
82,133.0,-9228
83,82.0,-5197
84,58.0,-2586
85,33.0,-3116
86,61.0,-2760
87,48.0,-3330
88,53.0,-2141
89,30.0,-1336
90,32.0,-2916
91,24.0,-520
92,53.0,-2155
93,47.0,-1339
94,99.0,-7787
95,59.0,-3142
96,62.0,-2974
97,47.0,-3926
98,54.0,-3165
99,96.0,-6775
100,27.0,-1319
101,49.0,-3729
102,37.0,-2139
103,208.0,-11932
104,94.0,-5366
105,35.0,-3132
106,26.0,-1915
107,41.0,-1759
108,22.0,-546
109,94.0,-8166
110,46.0,-4124
111,34.0,-2932
112,68.0,-2568
113,43.0,-2742
114,119.0,-7636
115,104.0,-6797
116,76.0,-3784
117,29.0,-1932
118,18.0,-130
119,37.0,-1329
120,113.0,-8583
121,22.0,-518
122,78.0,-5577
123,47.0,-2959
124,47.0,-5518
125,83.0,-5568
126,134.0,-7438
127,73.0,-4364
128,105.0,-6983
129,45.0,-1735
130,33.0,-1936
131,81.0,-4571
132,33.0,-1126
133,37.0,-2139
134,33.0,-1325
135,48.0,-3145
136,93.0,-5976
137,77.0,-4951
138,26.0,-1133
139,92.0,-5406
140,46.0,-2361
141,120.0,-8817
142,81.0,-5807
143,108.0,-7824
144,122.0,-8009
145,114.0,-7006
146,28.0,-1718
147,52.0,-3760
148,86.0,-5571
149,26.0,-1318
150,34.0,-1141
151,31.0,-2133
152,84.0,-6749
153,67.0,-3562
154,36.0,-1740
155,134.0,-8007
156,24.0,-1117
157,42.0,-1732
158,29.0,-1562
159,52.0,-4528
160,63.0,-2975
161,39.0,-1132
162,51.0,-3944
163,67.0,-5154
164,49.0,-2933
165,95.0,-5992
166,60.0,-3754
167,136.0,-12230
168,76.0,-4765
169,53.0,-3747
170,122.0,-6431
171,189.0,-12695
172,49.0,-2734
173,79.0,-4967
174,40.0,-2327
175,52.0,-3533
176,48.0,-5519
177,60.0,-3953
178,43.0,-2131
179,35.0,-1526
180,56.0,-5129
181,102.0,-6184
182,100.0,-6395
183,82.0,-4785
184,61.0,-2945
185,102.0,-5444
186,56.0,-2741
187,78.0,-5549
188,36.0,-1925
189,63.0,-5335
190,109.0,-7982
191,52.0,-2339
192,67.0,-6732
193,56.0,-2357
194,46.0,-2972
195,66.0,-4158
196,72.0,-4974
197,40.0,-2128
198,53.0,-2965
199,42.0,-2144
200,96.0,-6220
201,37.0,-931
202,65.0,-3958
203,54.0,-2554
204,79.0,-4555
205,30.0,-1521
206,69.0,-5739
207,119.0,-8603
208,67.0,-3960
209,27.0,-1916
210,62.0,-4964
211,46.0,-1963
212,61.0,-6541
213,59.0,-3952
214,52.0,-3774
215,48.0,-2548
216,26.0,-1716
217,25.0,-1715
218,50.0,-2976
219,82.0,-5012
220,51.0,-2736
221,51.0,-3930
222,66.0,-3945
223,49.0,-2734
224,41.0,-1944
225,56.0,-3736
226,95.0,-7357
227,123.0,-7626
228,83.0,-5554
229,42.0,-1746
230,81.0,-6362
231,76.0,-3557
232,47.0,-2732
233,90.0,-6385
234,32.0,-2916
235,60.0,-4536
236,71.0,-3751
237,52.0,-2140
238,51.0,-2394
239,45.0,-3327
240,49.0,-3132
241,124.0,-7840
242,46.0,-3129
243,94.0,-5792
244,87.0,-6155
245,93.0,-6587
246,97.0,-5397
247,43.0,-2557
248,42.0,-2954
249,71.0,-3381
250,55.0,-5924
251,55.0,-2782
252,64.0,-4938
253,31.0,-1721
254,108.0,-9758
255,42.0,-2727
256,75.0,-3399
257,92.0,-4411
258,62.0,-2960
259,97.0,-7188
260,84.0,-4389
261,18.0,-514
262,50.0,-2536
263,55.0,-3180
264,98.0,-8994
265,92.0,-6586
266,35.0,-1540
267,100.0,-7404
268,101.0,-5771
269,63.0,-2947
270,26.0,-735
271,89.0,-7777
272,39.0,-2141
273,57.0,-2756
274,44.0,-3127
275,82.0,-5155
276,39.0,-2923
277,38.0,-2325
278,92.0,-5378
279,54.0,-2582
280,38.0,-2140
281,60.0,-3213
282,103.0,-5801
283,59.0,-4734
284,76.0,-3756
285,79.0,-5976
286,40.0,-2128
287,44.0,-2345
288,127.0,-7616
289,49.0,-2151
290,29.0,-2117
291,55.0,-3337
292,37.0,-2324
293,44.0,-2345
294,33.0,-1723
295,51.0,-4328
296,56.0,-3935
297,78.0,-4383
298,31.0,-2133
299,104.0,-6001
300,59.0,-4336
301,54.0,-2753
302,28.0,-723
303,60.0,-4180
304,105.0,-7608
305,89.0,-5602
306,76.0,-4552
307,78.0,-3217
308,73.0,-6752
309,64.0,-2763
310,58.0,-5131
311,69.0,-4587
312,34.0,-1724
313,46.0,-1778
314,44.0,-2345
315,79.0,-4953
316,54.0,-3350
317,74.0,-5175
318,40.0,-1730
319,88.0,-4578
320,120.0,-6628
321,70.0,-2769
322,163.0,-9827
323,38.0,-1330
324,96.0,-5183
325,102.0,-5814
326,46.0,-2134
327,41.0,-2143
328,71.0,-4362
