,Steps until goal,Reward_until_goal
0,38.0,-2168
1,84.0,-7203
2,46.0,-2347
3,68.0,-4373
4,46.0,-1736
5,76.0,-5163
6,30.0,-1919
7,70.0,-3153
8,77.0,-4183
9,30.0,-1123
10,50.0,-4156
11,46.0,-2588
12,139.0,-9206
13,34.0,-1340
14,61.0,-3626
15,42.0,-2727
16,40.0,-3919
17,30.0,-1933
18,61.0,-3357
19,93.0,-5833
20,39.0,-2127
21,64.0,-4369
22,34.0,-1724
23,46.0,-2745
24,57.0,-2784
25,52.0,-3945
26,38.0,-1941
27,48.0,-1951
28,103.0,-4820
29,37.0,-2722
30,74.0,-3569
31,62.0,-3742
32,132.0,-8801
33,72.0,-6367
34,141.0,-11184
35,92.0,-4624
36,42.0,-3139
37,79.0,-5962
38,43.0,-2330
39,62.0,-3955
40,38.0,-3135
41,65.0,-3773
42,43.0,-2344
43,55.0,-3976
44,100.0,-8385
45,126.0,-6250
46,34.0,-530
47,79.0,-7170
48,64.0,-4753
49,33.0,-2732
50,43.0,-1932
51,88.0,-5189
52,63.0,-3345
53,34.0,-928
54,34.0,-1553
55,35.0,-3118
56,61.0,-4153
57,39.0,-2326
58,62.0,-2562
59,38.0,-2936
60,57.0,-3140
61,44.0,-1762
62,31.0,-1124
63,61.0,-5134
64,40.0,-3336
65,18.0,-514
66,73.0,-4165
67,78.0,-3786
68,45.0,-2758
69,48.0,-3585
70,97.0,-7827
71,43.0,-2529
72,85.0,-5186
73,62.0,-3599
74,53.0,-1956
75,41.0,-2527
76,26.0,-1161
77,37.0,-1741
78,34.0,-2520
79,39.0,-1942
80,41.0,-1745
81,125.0,-10784
82,35.0,-1924
83,89.0,-5616
84,56.0,-2542
85,61.0,-4366
86,83.0,-5355
87,47.0,-2973
88,131.0,-9596
89,49.0,-4553
90,30.0,-1137
91,61.0,-3741
92,89.0,-4223
93,98.0,-9165
94,37.0,-2125
95,67.0,-5154
96,55.0,-3152
97,52.0,-3348
98,81.0,-6362
99,98.0,-6365
100,66.0,-2182
101,86.0,-4590
102,84.0,-8156
103,28.0,-2116
104,46.0,-982
105,74.0,-5175
106,60.0,-3370
107,36.0,-1143
108,60.0,-3143
109,137.0,-9986
110,100.0,-5585
111,28.0,-922
112,37.0,-3319
113,110.0,-6789
114,65.0,-5337
115,88.0,-7549
116,59.0,-2786
117,135.0,-10480
118,49.0,-3813
119,79.0,-5166
120,44.0,-753
121,70.0,-5939
122,117.0,-7023
123,68.0,-4942
124,36.0,-944
125,47.0,-3130
126,97.0,-6776
127,58.0,-3169
128,36.0,-2138
129,32.0,-2120
130,82.0,-7358
131,38.0,-2538
132,60.0,-3569
133,40.0,-2540
134,44.0,-2956
135,38.0,-1742
136,53.0,-2965
137,58.0,-4335
138,53.0,-3349
139,51.0,-1954
140,68.0,-3961
141,60.0,-3157
142,36.0,-2124
143,52.0,-1756
144,74.0,-4152
145,39.0,-3719
146,58.0,-1350
147,36.0,-1342
148,109.0,-5779
149,36.0,-1342
150,29.0,-1719
151,47.0,-3130
152,69.0,-3763
153,111.0,-9192
154,25.0,-521
155,61.0,-4139
156,43.0,-2543
157,74.0,-4777
158,32.0,-1338
159,49.0,-2336
160,42.0,-2343
161,100.0,-4405
162,41.0,-2754
163,57.0,-3950
164,74.0,-5346
165,26.0,-1332
166,128.0,-11768
167,57.0,-3950
168,96.0,-10940
169,72.0,-5344
170,62.0,-3386
171,22.0,-717
172,74.0,-5374
173,51.0,-2352
174,73.0,-4776
175,22.0,-930
176,109.0,-9361
