,Steps until goal,Reward_until_goal
317,258.0,-30304
318,140.0,-16668
319,70.0,-8156
320,135.0,-13891
321,387.0,-34993
322,1038.0,-102768
323,256.0,-25100
324,663.0,-60850
325,330.0,-30233
326,1415.0,-141224
327,100.0,-11569
328,366.0,-36550
329,457.0,-47558
330,644.0,-79400
331,217.0,-23853
332,214.0,-22185
333,890.0,-94100
334,106.0,-9215
335,345.0,-32238
336,189.0,-17342
337,310.0,-32671
338,81.0,-6163
339,134.0,-15213
340,80.0,-8379
341,202.0,-20906
342,84.0,-6477
343,406.0,-46512
344,522.0,-58167
345,391.0,-42531
346,477.0,-48587
347,261.0,-24435
348,485.0,-48738
349,314.0,-34808
350,170.0,-19243
351,244.0,-25455
352,157.0,-14255
353,345.0,-33687
354,126.0,-12419
355,296.0,-36979
356,541.0,-47880
357,82.0,-8353
358,161.0,-19433
359,95.0,-8153
360,1052.0,-112110
361,207.0,-26856
362,75.0,-7564
363,118.0,-13975
364,104.0,-11772
365,639.0,-57827
366,139.0,-12104
367,1710.0,-174138
368,399.0,-38060
369,188.0,-21024
370,89.0,-10336
371,268.0,-28523
372,235.0,-25945
373,206.0,-17928
374,361.0,-38821
375,56.0,-4602
376,632.0,-57576
377,287.0,-32948
378,1393.0,-141303
379,692.0,-63494
380,118.0,-13961
381,155.0,-17437
382,76.0,-8574
383,258.0,-23109
384,135.0,-12100
385,163.0,-16335
386,729.0,-67026
387,58.0,-4377
388,106.0,-12797
389,433.0,-45415
390,181.0,-16922
391,629.0,-63888
392,455.0,-52632
393,246.0,-29168
394,236.0,-26372
395,120.0,-14773
396,89.0,-8559
397,375.0,-36887
398,262.0,-22774
399,587.0,-56141
400,295.0,-31776
401,209.0,-23772
402,391.0,-37738
403,272.0,-27403
404,66.0,-5209
405,344.0,-34395
406,346.0,-38251
407,314.0,-34169
408,78.0,-6244
409,72.0,-4178
410,73.0,-7831
411,68.0,-7927
412,282.0,-27214
413,970.0,-92411
414,336.0,-32271
415,748.0,-81023
416,263.0,-27195
417,77.0,-7381
418,60.0,-3796
419,654.0,-72599
420,296.0,-27825
421,62.0,-5774
422,191.0,-17826
423,164.0,-12939
424,259.0,-22897
425,206.0,-20131
426,46.0,-3939
427,849.0,-86662
428,286.0,-31739
429,362.0,-33348
430,219.0,-24693
431,719.0,-67148
432,352.0,-37831
433,224.0,-24485
434,211.0,-21316
435,1135.0,-120366
436,63.0,-5419
437,212.0,-21502
438,359.0,-35534
439,355.0,-38431
440,307.0,-32287
441,947.0,-85936
442,548.0,-59530
443,124.0,-17535
444,163.0,-14558
445,871.0,-95813
446,310.0,-35541
447,276.0,-25899
448,149.0,-14687
449,154.0,-17635
450,178.0,-21098
451,77.0,-7353
452,150.0,-14049
453,630.0,-68553
454,273.0,-27760
455,317.0,-30845
456,229.0,-22685
457,314.0,-30954
458,577.0,-54982
459,555.0,-64669
460,450.0,-51447
461,254.0,-29986
462,288.0,-35051
463,71.0,-6436
464,184.0,-18318
465,744.0,-67554
466,271.0,-22525
467,858.0,-90875
468,145.0,-16390
469,99.0,-9606
470,197.0,-17863
471,180.0,-13409
472,481.0,-53608
473,315.0,-30159
474,236.0,-22902
475,842.0,-81708
476,353.0,-42636
477,644.0,-65792
478,652.0,-68171
479,316.0,-31141
480,526.0,-52246
481,501.0,-51083
482,420.0,-37243
483,337.0,-36863
484,231.0,-23197
485,102.0,-12566
486,100.0,-8057
487,375.0,-39530
488,48.0,-4964
489,361.0,-36318
490,209.0,-23475
491,126.0,-13641
492,55.0,-5226
493,132.0,-12425
494,238.0,-23403
495,142.0,-13828
496,54.0,-6733
497,86.0,-10389
498,190.0,-19305
499,100.0,-8839
500,1352.0,-136158
501,73.0,-6197
502,682.0,-81585
503,95.0,-10681
504,176.0,-18879
505,356.0,-30169
506,79.0,-6615
507,54.0,-7145
508,86.0,-6196
509,331.0,-35038
510,238.0,-25749
511,895.0,-86212
512,87.0,-7276
513,102.0,-10761
514,722.0,-91076
515,287.0,-34442
516,237.0,-21555
517,509.0,-46172
518,94.0,-9800
519,857.0,-79680
520,197.0,-19923
521,118.0,-9866
522,88.0,-9567
523,144.0,-13816
524,628.0,-63405
525,119.0,-11246
526,47.0,-3186
527,213.0,-18417
528,286.0,-31498
529,276.0,-27407
530,80.0,-7611
531,168.0,-18871
532,163.0,-18611
533,133.0,-12426
534,137.0,-11676
535,552.0,-56364
536,1020.0,-110248
537,127.0,-11865
538,159.0,-18080
539,565.0,-57019
