,Steps until goal,Reward_until_goal
0,50.0,-1953
1,49.0,-3132
2,93.0,-5421
3,76.0,-6357
4,47.0,-3144
5,38.0,-932
6,40.0,-2526
7,57.0,-4163
8,53.0,-2738
9,18.0,-130
10,27.0,-1518
11,76.0,-5589
12,47.0,-2334
13,76.0,-6755
14,56.0,-2755
15,52.0,-4727
16,89.0,-6370
17,24.0,-520
18,60.0,-5332
19,30.0,-1322
20,76.0,-4196
21,54.0,-3947
22,56.0,-2940
23,25.0,-1743
24,65.0,-3944
25,70.0,-4375
26,16.0,-327
27,40.0,-948
28,32.0,-1324
29,16.0,-910
30,77.0,-3415
31,43.0,-2742
32,66.0,-4542
33,82.0,-4771
34,46.0,-1750
35,90.0,-5177
36,67.0,-2553
37,63.0,-4937
38,84.0,-4829
39,27.0,-1717
40,25.0,-1743
41,76.0,-6144
42,51.0,-3347
43,122.0,-9985
44,46.0,-2347
45,133.0,-5447
46,40.0,-3336
47,74.0,-4976
48,80.0,-5750
49,34.0,-2122
50,80.0,-6162
51,54.0,-2582
52,55.0,-2754
53,51.0,-3532
54,52.0,-2339
55,33.0,-1325
56,46.0,-3527
57,80.0,-5195
58,62.0,-4339
59,50.0,-4128
60,52.0,-1983
61,81.0,-4386
62,131.0,-10832
63,80.0,-5167
64,53.0,-3548
65,34.0,-1923
66,77.0,-4553
67,211.0,-12291
68,20.0,-715
69,42.0,-4120
70,58.0,-4534
71,37.0,-2750
72,115.0,-8585
73,20.0,-914
74,20.0,-729
75,106.0,-6230
76,66.0,-3760
77,75.0,-3755
78,67.0,-3590
79,55.0,-2939
80,61.0,-5148
81,58.0,-3965
82,39.0,-1530
83,75.0,-4593
84,63.0,-3174
85,65.0,-3787
86,85.0,-4020
87,66.0,-4158
88,64.0,-3346
89,45.0,-2531
90,26.0,-1716
91,30.0,-1720
92,70.0,-6180
93,61.0,-2390
94,127.0,-11184
95,116.0,-9368
96,105.0,-5021
97,43.0,-2927
98,44.0,-2345
99,123.0,-7214
100,65.0,-4143
101,66.0,-3945
102,38.0,-1344
103,28.0,-1121
104,83.0,-5355
105,112.0,-8795
106,182.0,-8680
107,55.0,-2953
108,70.0,-4162
109,94.0,-4839
110,49.0,-1938
111,72.0,-3382
112,74.0,-4990
113,84.0,-4560
114,117.0,-6199
115,56.0,-3551
116,61.0,-2575
117,37.0,-2736
118,124.0,-7812
119,38.0,-1756
120,59.0,-4350
121,84.0,-5754
122,26.0,-735
123,30.0,-1123
124,76.0,-6357
125,52.0,-3219
126,92.0,-6586
127,54.0,-2554
128,51.0,-1741
129,76.0,-5348
130,57.0,-2358
131,76.0,-4765
132,44.0,-1535
133,42.0,-1931
134,158.0,-11627
135,61.0,-2149
136,67.0,-3562
137,155.0,-10999
138,38.0,-1927
139,32.0,-1338
140,49.0,-2549
141,51.0,-1982
142,33.0,-1723
143,48.0,-3941
144,36.0,-2536
145,41.0,-2328
146,113.0,-8597
147,47.0,-2945
148,60.0,-4749
149,59.0,-2985
150,29.0,-1520
151,32.0,-1921
152,146.0,-8204
153,59.0,-6738
154,40.0,-1545
155,85.0,-5825
156,88.0,-5573
157,120.0,-7424
158,63.0,-2790
159,47.0,-2135
160,29.0,-1321
161,29.0,-1520
162,45.0,-4322
163,43.0,-1932
164,38.0,-1742
165,89.0,-5176
166,83.0,-2384
167,67.0,-5168
168,53.0,-4131
169,66.0,-2751
170,40.0,-1730
171,100.0,-6196
172,42.0,-2954
173,69.0,-6350
174,34.0,-942
175,106.0,-5392
176,42.0,-3338
177,40.0,-3137
178,54.0,-2341
179,47.0,-3144
180,65.0,-3759
181,34.0,-1539
182,74.0,-4791
183,45.0,-2147
184,31.0,-2119
185,43.0,-2330
186,68.0,-5553
187,81.0,-6191
188,38.0,-1002
189,60.0,-2560
190,51.0,-3731
191,115.0,-8030
192,52.0,-3149
193,77.0,-4169
194,111.0,-7031
195,36.0,-2721
196,58.0,-3752
197,32.0,-2717
198,36.0,-2536
199,60.0,-3782
200,58.0,-3937
201,24.0,-321
202,83.0,-4957
203,68.0,-3748
204,32.0,-727
205,35.0,-1327
206,109.0,-7769
207,49.0,-2364
208,89.0,-4209
209,58.0,-2345
210,134.0,-9798
211,42.0,-1732
212,78.0,-5350
213,44.0,-3539
214,48.0,-1951
215,34.0,-2719
216,32.0,-2717
217,56.0,-2343
218,28.0,-1917
219,52.0,-1557
220,54.0,-2739
221,64.0,-3360
222,95.0,-7385
223,60.0,-5545
224,68.0,-5141
225,58.0,-2600
226,45.0,-3526
227,55.0,-5526
228,59.0,-3554
229,56.0,-4532
230,60.0,-2347
231,40.0,-1730
232,36.0,-1143
233,58.0,-4548
234,50.0,-1541
235,26.0,-934
236,58.0,-2572
237,56.0,-3963
238,85.0,-5584
239,97.0,-7970
240,64.0,-4540
241,45.0,-2957
242,36.0,-3716
243,44.0,-2530
244,53.0,-2937
245,53.0,-3775
246,62.0,-5334
247,48.0,-2775
248,117.0,-7777
249,70.0,-2968
250,37.0,-2338
251,183.0,-11652
252,48.0,-2747
253,24.0,-1543
254,146.0,-8871
255,35.0,-1128
256,20.0,-331
257,49.0,-3132
258,32.0,-1537
259,62.0,-3756
260,71.0,-5556
261,26.0,-138
262,86.0,-6381
263,87.0,-5628
264,62.0,-3941
265,28.0,-1519
266,51.0,-1144
267,86.0,-4178
268,32.0,-1523
269,37.0,-3134
270,53.0,-3164
271,42.0,-1334
272,97.0,-5767
273,68.0,-3947
274,39.0,-3335
275,149.0,-11391
276,63.0,-4780
277,82.0,-4003
278,47.0,-1538
279,63.0,-2762
280,38.0,-1543
281,47.0,-2149
282,71.0,-5769
283,34.0,-2136
284,32.0,-926
285,38.0,-3519
286,36.0,-2721
287,49.0,-2350
288,77.0,-3558
289,58.0,-3609
290,60.0,-2958
291,109.0,-10185
292,42.0,-1533
293,48.0,-2548
294,61.0,-3570
295,38.0,-1543
296,108.0,-4413
297,35.0,-3118
298,91.0,-5775
299,80.0,-4214
300,92.0,-5008
301,28.0,-1732
302,62.0,-2604
303,48.0,-1553
304,38.0,-1131
305,99.0,-5385
306,96.0,-7997
307,157.0,-10474
308,83.0,-4786
309,50.0,-2735
310,51.0,-3347
311,48.0,-3145
312,100.0,-5173
313,73.0,-5600
314,62.0,-4339
315,45.0,-2943
316,46.0,-3356
317,31.0,-1138
318,75.0,-5347
319,72.0,-3965
320,54.0,-2809
321,106.0,-6401
322,83.0,-5568
323,94.0,-4584
324,37.0,-2523
325,64.0,-2620
326,90.0,-4978
327,45.0,-3526
328,88.0,-7364
329,125.0,-9192
330,43.0,-3922
331,35.0,-2322
332,22.0,-333
333,149.0,-8619
334,45.0,-3526
335,24.0,-1117
336,193.0,-9686
337,108.0,-8962
338,87.0,-4961
339,81.0,-5353
340,68.0,-4359
341,95.0,-6362
342,59.0,-3411
343,54.0,-2341
344,28.0,-737
345,97.0,-6392
346,51.0,-3162
347,26.0,-1517
348,63.0,-4141
349,63.0,-4354
350,39.0,-3136
351,88.0,-5587
352,18.0,-926
353,79.0,-6559
354,39.0,-1132
355,122.0,-7199
356,44.0,-1933
357,41.0,-2129
358,129.0,-9025
359,31.0,-1138
360,54.0,-3137
361,62.0,-3742
362,27.0,-1518
363,38.0,-3348
364,69.0,-3152
365,62.0,-3955
366,45.0,-2147
367,50.0,-2365
368,70.0,-4347
369,68.0,-3549
370,34.0,-1553
371,22.0,-1513
372,60.0,-5531
373,72.0,-5742
374,58.0,-2757
375,70.0,-4361
376,48.0,-3742
377,55.0,-2824
378,58.0,-2345
379,32.0,-1921
380,79.0,-3574
381,52.0,-3149
382,63.0,-3544
383,32.0,-926
384,89.0,-6981
385,73.0,-6539
386,48.0,-1567
387,20.0,-715
388,44.0,-1947
389,34.0,-1923
390,73.0,-5757
391,83.0,-5355
392,48.0,-1937
393,64.0,-2578
394,29.0,-2927
395,88.0,-6781
396,57.0,-3552
397,30.0,-1720
398,58.0,-1947
399,74.0,-4948
400,69.0,-3990
401,33.0,-2533
402,36.0,-930
403,46.0,-3925
404,58.0,-3539
405,34.0,-1923
406,80.0,-5366
407,54.0,-1573
408,72.0,-4164
409,31.0,-2517
410,109.0,-6788
411,20.0,-1312
412,45.0,-3725
413,30.0,-725
414,42.0,-2528
415,27.0,-935
416,71.0,-5584
417,82.0,-5012
418,113.0,-8370
419,106.0,-9756
420,68.0,-6932
421,101.0,-7775
422,59.0,-4350
423,53.0,-2752
424,64.0,-4184
425,50.0,-1953
426,49.0,-3373
427,35.0,-1725
428,52.0,-2950
429,31.0,-2332
430,61.0,-3556
431,55.0,-3337
432,54.0,-3336
433,16.0,-313
434,30.0,-2118
435,40.0,-1133
436,58.0,-3183
437,54.0,-3535
438,64.0,-3147
439,76.0,-4381
440,51.0,-2736
441,21.0,-1128
442,59.0,-2985
443,22.0,-532
444,27.0,-1333
445,71.0,-4376
446,35.0,-2336
447,154.0,-9860
448,39.0,-2937
449,52.0,-4144
450,176.0,-9058
451,92.0,-5392
452,76.0,-4992
453,44.0,-2771
454,36.0,-1555
455,26.0,-920
456,26.0,-721
457,92.0,-5989
458,95.0,-5765
459,30.0,-1336
460,56.0,-2556
461,80.0,-3561
462,29.0,-937
463,74.0,-6540
464,39.0,-2923
465,67.0,-2993
466,121.0,-7198
467,26.0,-920
468,22.0,-333
469,58.0,-3979
470,39.0,-1743
471,159.0,-10619
472,25.0,-1118
473,50.0,-3332
474,56.0,-2755
475,63.0,-3230
476,26.0,-920
477,54.0,-2540
478,75.0,-3954
479,75.0,-6754
480,71.0,-6551
481,45.0,-2929
482,90.0,-6172
483,88.0,-6170
484,134.0,-9627
485,72.0,-5571
486,37.0,-2722
487,102.0,-4805
488,49.0,-3359
489,83.0,-3592
490,57.0,-4149
491,115.0,-7220
492,44.0,-2373
493,62.0,-2164
494,63.0,-5335
495,88.0,-5772
496,43.0,-2159
497,54.0,-3350
498,52.0,-3348
499,83.0,-3763
500,64.0,-5364
501,95.0,-7783
502,58.0,-3937
503,42.0,-2556
504,35.0,-3331
505,104.0,-5844
506,34.0,-2719
507,39.0,-2354
508,46.0,-2930
509,29.0,-1918
510,56.0,-4361
511,70.0,-4347
512,80.0,-6005
513,67.0,-6533
514,74.0,-5147
515,67.0,-2581
516,48.0,-2747
517,57.0,-3552
518,46.0,-2347
519,104.0,-4196
520,89.0,-8360
521,57.0,-3140
522,56.0,-1959
523,57.0,-3367
524,87.0,-8955
525,30.0,-1336
526,59.0,-3781
527,41.0,-2143
528,62.0,-2946
529,105.0,-4993
530,54.0,-2753
531,57.0,-4149
532,54.0,-3776
533,31.0,-2318
534,30.0,-128
535,81.0,-6362
536,58.0,-2743
537,25.0,-1914
538,64.0,-3758
539,27.0,-1319
540,76.0,-3997
541,44.0,-3923
542,75.0,-6157
543,64.0,-6132
544,42.0,-1931
545,80.0,-5579
546,58.0,-2757
547,83.0,-3763
548,48.0,-3728
549,44.0,-3937
550,66.0,-4570
551,68.0,-4984
552,64.0,-5364
553,41.0,-3124
554,116.0,-7064
555,77.0,-4965
556,81.0,-6348
557,72.0,-4576
558,43.0,-1534
559,65.0,-4555
560,106.0,-6600
561,39.0,-1729
562,108.0,-5806
563,30.0,-1137
564,81.0,-5608
565,47.0,-2547
566,27.0,-1518
567,44.0,-1933
568,36.0,-1143
569,50.0,-2550
570,28.0,-1732
571,40.0,-2554
572,40.0,-2156
573,44.0,-2345
574,41.0,-2925
575,42.0,-2741
576,46.0,-1181
577,63.0,-4169
578,67.0,-4742
579,26.0,-721
580,48.0,-1738
581,48.0,-1581
582,86.0,-7163
583,101.0,-4434
584,14.0,-908
585,35.0,-2933
586,132.0,-9014
587,129.0,-9210
588,32.0,-1338
589,55.0,-3351
590,35.0,-2734
591,60.0,-3740
592,115.0,-7775
593,37.0,-1343
594,40.0,-1332
595,40.0,-2156
596,38.0,-2126
597,77.0,-5178
598,49.0,-4923
599,30.0,-2118
600,63.0,-4354
601,61.0,-4593
602,63.0,-3942
603,41.0,-2129
604,37.0,-1940
605,80.0,-7384
606,50.0,-1754
607,128.0,-5725
608,36.0,-2536
609,81.0,-4187
610,85.0,-4376
611,88.0,-4379
612,39.0,-2724
613,47.0,-2334
614,38.0,-2538
615,73.0,-3980
616,135.0,-7027
617,71.0,-4362
618,89.0,-6967
619,58.0,-3539
620,18.0,-713
621,49.0,-1739
622,49.0,-2961
623,44.0,-2729
624,46.0,-2532
625,66.0,-4200
626,24.0,-918
627,64.0,-2634
628,93.0,-5976
629,191.0,-13252
630,67.0,-4145
631,135.0,-10026
632,22.0,-916
633,65.0,-5536
634,34.0,-2335
635,86.0,-5969
636,135.0,-8647
637,58.0,-4150
638,66.0,-4755
639,157.0,-10418
640,104.0,-7422
641,81.0,-4585
642,30.0,-1919
643,187.0,-11328
644,55.0,-3948
645,38.0,-2126
646,27.0,-1134
647,95.0,-6177
648,48.0,-2164
649,81.0,-5168
650,110.0,-5808
651,93.0,-6360
652,57.0,-4732
653,111.0,-7003
654,37.0,-2125
655,59.0,-4165
656,30.0,-1123
657,43.0,-2145
658,53.0,-2965
659,50.0,-3943
660,87.0,-5003
661,88.0,-5971
662,65.0,-3801
663,77.0,-4766
664,79.0,-5948
665,20.0,-317
666,147.0,-8816
667,69.0,-4587
668,81.0,-6376
669,52.0,-2737
670,41.0,-2129
671,60.0,-2588
672,54.0,-4146
673,29.0,-1719
674,16.0,-327
675,45.0,-2730
676,50.0,-3332
677,24.0,-1714
678,63.0,-5349
679,60.0,-3953
680,52.0,-3135
681,32.0,-1537
682,44.0,-2757
683,44.0,-2359
684,67.0,-4173
685,47.0,-3556
686,23.0,-917
687,52.0,-2580
688,36.0,-731
689,16.0,-114
690,71.0,-3765
691,73.0,-4364
692,61.0,-3385
693,119.0,-8006
694,38.0,-1941
695,69.0,-4360
696,111.0,-6804
697,70.0,-3635
698,34.0,-928
699,46.0,-2148
700,77.0,-4794
701,48.0,-3941
702,96.0,-6960
703,50.0,-3730
704,35.0,-1526
705,57.0,-2941
706,80.0,-4769
707,81.0,-4557
708,75.0,-6967
709,44.0,-2729
710,34.0,-2321
711,36.0,-2323
712,84.0,-5370
713,60.0,-3143
714,36.0,-2138
715,40.0,-1744
716,31.0,-1721
717,84.0,-4417
718,52.0,-3048
719,91.0,-5789
720,34.0,-1553
721,64.0,-5137
722,106.0,-6429
723,35.0,-929
724,60.0,-4351
725,34.0,-1738
726,130.0,-9993
727,52.0,-2339
728,54.0,-3350
729,112.0,-9193
730,69.0,-4758
731,40.0,-2142
732,59.0,-4179
733,74.0,-4365
734,86.0,-3595
735,108.0,-7583
736,47.0,-2945
737,57.0,-3566
738,34.0,-1923
739,134.0,-9840
740,26.0,-721
741,77.0,-4368
742,59.0,-5146
743,48.0,-2534
744,69.0,-5554
745,60.0,-4138
746,78.0,-3971
747,279.0,-18570
748,38.0,-1543
749,64.0,-4383
750,92.0,-6586
751,28.0,-1718
752,33.0,-2320
753,34.0,-1326
