,Steps until goal,Reward_until_goal
319,127.0,-10999
320,36.0,-1328
321,40.0,-1943
322,61.0,-4352
323,49.0,-2535
324,76.0,-5348
325,62.0,-4950
326,47.0,-3926
327,32.0,-926
328,70.0,-4759
329,26.0,-920
330,100.0,-5271
331,54.0,-3137
332,52.0,-4542
333,62.0,-4737
334,55.0,-3934
335,30.0,-1720
336,86.0,-6950
337,44.0,-1364
338,46.0,-2731
339,24.0,-520
340,45.0,-2531
341,129.0,-8997
342,122.0,-8791
343,24.0,-1117
344,45.0,-2531
345,33.0,-1723
346,38.0,-1529
347,39.0,-1359
348,93.0,-6601
349,161.0,-13222
350,48.0,-2932
351,147.0,-10237
352,122.0,-8037
353,60.0,-4138
354,57.0,-4149
355,52.0,-2339
356,41.0,-2527
357,49.0,-2762
358,89.0,-5162
359,50.0,-2536
360,28.0,-1917
361,101.0,-8557
362,99.0,-6806
363,28.0,-1121
364,73.0,-5160
365,60.0,-3342
366,38.0,-1145
367,40.0,-1730
368,61.0,-3357
369,42.0,-1334
370,59.0,-2758
371,39.0,-2724
372,147.0,-9626
373,34.0,-1724
374,42.0,-1732
375,61.0,-4949
376,46.0,-1750
377,98.0,-6564
378,51.0,-2736
379,128.0,-7987
380,55.0,-3152
381,38.0,-1529
382,48.0,-4126
383,33.0,-1723
384,33.0,-2519
385,68.0,-3577
386,62.0,-5163
387,130.0,-10974
388,26.0,-1915
389,109.0,-8380
390,82.0,-4757
391,60.0,-3143
392,65.0,-3944
393,108.0,-7398
394,38.0,-1770
395,38.0,-3121
396,91.0,-6372
397,64.0,-3758
398,119.0,-5489
399,65.0,-3389
400,90.0,-7792
401,53.0,-3548
402,72.0,-3155
403,32.0,-1921
404,34.0,-1923
405,47.0,-3144
406,42.0,-1746
407,48.0,-4325
408,71.0,-5741
409,44.0,-2132
410,72.0,-4548
411,28.0,-1760
412,76.0,-5163
413,48.0,-2747
414,84.0,-5597
415,56.0,-1589
416,177.0,-14673
417,201.0,-15891
418,71.0,-4149
419,38.0,-2950
420,52.0,-3547
421,38.0,-1941
422,60.0,-4536
423,75.0,-4366
424,72.0,-4960
425,141.0,-8639
426,58.0,-4136
427,72.0,-4150
428,74.0,-4550
429,59.0,-4933
430,46.0,-2375
431,38.0,-2936
432,59.0,-2573
433,56.0,-3338
434,116.0,-6781
435,83.0,-4573
436,75.0,-6157
437,66.0,-3959
438,95.0,-7797
439,32.0,-2518
440,45.0,-1934
441,88.0,-3995
442,69.0,-5938
443,101.0,-6993
444,76.0,-4353
445,63.0,-3174
446,24.0,-1728
447,43.0,-2529
448,130.0,-7406
449,28.0,-936
450,87.0,-4605
451,26.0,-920
452,121.0,-9586
453,120.0,-6726
454,78.0,-5591
455,35.0,-2123
456,72.0,-4150
457,233.0,-17330
458,95.0,-7357
459,40.0,-2725
460,51.0,-2338
461,91.0,-6599
462,92.0,-6572
463,53.0,-4131
464,58.0,-3141
465,38.0,-3917
466,35.0,-1554
467,60.0,-5559
468,134.0,-9826
469,83.0,-5156
470,52.0,-2339
471,24.0,-1543
472,20.0,-1113
473,56.0,-4134
474,79.0,-4953
475,26.0,-920
476,55.0,-2967
477,76.0,-4566
478,39.0,-2923
479,46.0,-2333
480,40.0,-2327
481,107.0,-6985
482,84.0,-5384
483,61.0,-3741
484,88.0,-8743
485,69.0,-4587
486,92.0,-5364
487,73.0,-5160
488,22.0,-1157
489,38.0,-2737
490,66.0,-4556
491,86.0,-5358
492,94.0,-5195
493,59.0,-3142
494,54.0,-2753
495,36.0,-2536
496,56.0,-4347
497,80.0,-5949
498,116.0,-8202
499,93.0,-6402
500,49.0,-2947
501,54.0,-3137
502,36.0,-1754
503,74.0,-3000
504,35.0,-2322
505,91.0,-5775
506,22.0,-731
507,33.0,-2519
508,59.0,-4350
509,53.0,-3548
510,110.0,-8608
511,106.0,-7012
512,50.0,-2166
513,130.0,-8984
514,112.0,-8397
515,57.0,-3353
516,22.0,-319
517,56.0,-4347
518,33.0,-2135
519,33.0,-2320
520,50.0,-3943
521,60.0,-4152
522,82.0,-3989
523,33.0,-1922
524,42.0,-2926
525,57.0,-2756
526,125.0,-10571
527,26.0,-920
528,52.0,-2765
529,51.0,-2935
530,112.0,-7217
531,69.0,-4346
532,46.0,-2347
533,94.0,-5991
534,76.0,-3002
535,60.0,-1352
536,79.0,-4583
537,73.0,-5558
538,42.0,-2940
539,73.0,-5345
540,48.0,-3742
541,117.0,-7194
542,32.0,-1537
543,38.0,-2524
544,54.0,-3336
545,48.0,-1354
546,22.0,-1527
547,21.0,-1512
548,34.0,-3117
549,59.0,-2374
550,66.0,-6333
551,109.0,-8380
552,57.0,-2756
553,58.0,-4733
554,99.0,-10175
555,40.0,-3734
556,32.0,-1394
557,29.0,-1918
558,83.0,-5568
559,40.0,-2739
560,20.0,-715
561,91.0,-5789
562,81.0,-5154
563,40.0,-2526
564,26.0,-934
565,51.0,-3958
566,65.0,-4569
567,41.0,-2342
568,34.0,-1340
569,71.0,-5954
570,105.0,-6983
571,31.0,-1138
572,42.0,-3139
573,76.0,-3812
574,74.0,-4777
575,63.0,-4539
576,51.0,-2935
577,28.0,-1718
578,32.0,-3314
579,81.0,-4599
580,70.0,-4574
581,47.0,-2547
582,197.0,-13855
583,103.0,-6611
584,39.0,-1544
585,99.0,-5371
586,34.0,-530
587,38.0,-1529
588,20.0,-516
589,52.0,-3931
590,122.0,-7398
591,34.0,-1923
592,42.0,-950
593,63.0,-5946
594,68.0,-2966
595,31.0,-2133
596,55.0,-4147
597,65.0,-5578
598,43.0,-2969
599,57.0,-3594
600,55.0,-3948
601,34.0,-1326
602,114.0,-7191
603,98.0,-9961
604,38.0,-1131
605,37.0,-1727
606,65.0,-4939
607,103.0,-6000
608,58.0,-4150
609,65.0,-3204
610,39.0,-1928
611,37.0,-931
612,28.0,-1718
613,128.0,-8001
614,24.0,-1145
615,38.0,-1927
616,52.0,-2936
617,52.0,-2950
618,70.0,-3949
619,95.0,-6376
620,63.0,-4752
621,59.0,-3341
622,26.0,-1531
623,56.0,-1959
624,102.0,-8031
625,70.0,-3579
626,93.0,-5065
627,61.0,-3954
628,99.0,-5186
629,23.0,-1116
630,70.0,-5143
631,57.0,-4533
632,69.0,-5753
633,83.0,-6364
634,61.0,-5333
635,58.0,-2984
636,34.0,-2335
637,46.0,-1352
638,56.0,-3736
639,31.0,-1721
640,40.0,-2725
641,30.0,-1535
642,60.0,-5161
643,63.0,-4539
644,60.0,-2546
645,38.0,-2126
646,60.0,-2361
647,120.0,-8803
648,62.0,-1752
649,37.0,-1130
650,38.0,-1927
651,54.0,-2142
652,29.0,-1122
653,57.0,-3140
654,84.0,-5000
655,63.0,-2179
656,59.0,-4734
657,126.0,-7800
658,108.0,-9786
659,49.0,-2748
660,52.0,-1941
661,41.0,-2555
662,28.0,-1718
663,49.0,-2563
664,58.0,-3553
665,30.0,-1336
666,70.0,-6592
667,59.0,-4336
668,40.0,-2725
669,84.0,-3977
670,20.0,-1113
671,39.0,-1928
672,37.0,-2324
673,28.0,-1746
674,83.0,-6350
675,66.0,-3376
676,56.0,-1973
677,79.0,-4555
678,28.0,-1135
679,71.0,-4746
680,97.0,-8354
681,40.0,-1730
682,24.0,-946
683,36.0,-1328
684,35.0,-2336
685,87.0,-5956
686,79.0,-5550
687,48.0,-2946
688,37.0,-2722
689,46.0,-2731
690,85.0,-7347
691,40.0,-2341
692,56.0,-2940
693,53.0,-2169
694,34.0,-1937
695,52.0,-1756
696,27.0,-1518
697,31.0,-1721
698,52.0,-4172
699,46.0,-2930
700,49.0,-3331
701,40.0,-3123
702,76.0,-4353
703,50.0,-2337
704,92.0,-7368
705,38.0,-1344
706,44.0,-3951
707,108.0,-6801
708,58.0,-1748
709,88.0,-5587
710,30.0,-1137
711,66.0,-4158
712,51.0,-2750
713,40.0,-2526
714,58.0,-5131
715,52.0,-3561
716,54.0,-2184
717,25.0,-1132
718,68.0,-4558
719,61.0,-3954
720,56.0,-1959
721,84.0,-3977
722,79.0,-5379
723,76.0,-6371
724,115.0,-9765
725,52.0,-4727
726,32.0,-1537
727,44.0,-2331
728,26.0,-1332
729,72.0,-6751
730,34.0,-2136
731,42.0,-3125
732,75.0,-4792
733,70.0,-3991
734,107.0,-6800
735,46.0,-2333
736,63.0,-4965
737,94.0,-5579
738,66.0,-2964
739,42.0,-2926
740,75.0,-5375
741,60.0,-4749
742,36.0,-1939
743,91.0,-4581
744,51.0,-4129
745,24.0,-321
746,77.0,-6983
747,100.0,-6196
748,48.0,-2747
749,55.0,-2754
750,51.0,-3134
751,58.0,-4335
752,66.0,-4542
753,56.0,-3352
754,53.0,-3335
755,156.0,-11070
756,35.0,-2322
757,28.0,-936
758,71.0,-5172
759,78.0,-5179
760,34.0,-1326
761,55.0,-3152
762,130.0,-9808
763,77.0,-6173
764,33.0,-2135
765,33.0,-1922
766,32.0,-1338
767,37.0,-1570
768,159.0,-9055
769,68.0,-4771
770,124.0,-8594
771,81.0,-5196
772,43.0,-1946
773,27.0,-1319
