,Steps until goal,Reward_until_goal
0,104.0,-8190
1,39.0,-2937
2,48.0,-2349
3,84.0,-4958
4,50.0,-2550
5,113.0,-7787
6,50.0,-3175
7,35.0,-1526
8,26.0,-920
9,39.0,-3136
10,43.0,-2344
11,66.0,-2182
12,47.0,-2746
13,56.0,-3537
14,59.0,-3383
15,52.0,-2807
16,37.0,-2722
17,75.0,-6370
18,47.0,-2931
19,134.0,-10025
20,95.0,-7371
21,69.0,-4758
22,32.0,-1750
23,62.0,-4737
24,74.0,-4180
25,104.0,-6001
26,30.0,-1123
27,52.0,-3931
28,26.0,-721
29,64.0,-4767
30,69.0,-2754
31,90.0,-3997
32,42.0,-2741
33,50.0,-2337
34,72.0,-5557
35,70.0,-4773
36,45.0,-3170
37,23.0,-1130
38,53.0,-2965
39,35.0,-1739
40,52.0,-2339
41,40.0,-948
42,60.0,-3342
43,52.0,-2737
44,41.0,-2754
45,82.0,-4558
46,43.0,-2131
47,35.0,-2123
48,36.0,-2124
49,35.0,-1526
50,42.0,-1533
51,26.0,-1332
52,52.0,-3732
53,60.0,-2773
54,101.0,-8571
55,45.0,-1407
56,68.0,-5354
57,35.0,-2336
58,56.0,-2755
59,42.0,-2727
60,72.0,-4377
61,89.0,-6967
62,81.0,-4955
63,69.0,-3749
64,29.0,-1321
65,81.0,-4571
66,102.0,-7591
67,50.0,-3943
68,50.0,-3147
69,115.0,-7590
70,73.0,-4762
71,36.0,-930
72,43.0,-2529
73,58.0,-6339
74,48.0,-1539
75,114.0,-8385
76,33.0,-2149
77,32.0,-1736
78,26.0,-1147
79,78.0,-6757
80,72.0,-4363
81,112.0,-5611
82,55.0,-4133
83,54.0,-1943
84,94.0,-7171
85,81.0,-5367
86,83.0,-4004
87,80.0,-5579
88,57.0,-3353
89,64.0,-2365
90,67.0,-2766
91,28.0,-1334
92,142.0,-8612
93,20.0,-516
94,44.0,-1734
95,85.0,-5172
96,123.0,-9829
97,36.0,-2536
98,62.0,-3344
99,51.0,-2750
100,95.0,-7172
101,32.0,-2319
102,130.0,-7022
103,66.0,-4741
104,50.0,-2749
105,46.0,-2532
106,77.0,-6372
107,48.0,-2946
108,140.0,-11595
109,30.0,-2118
110,108.0,-8194
111,67.0,-2951
112,30.0,-1521
113,68.0,-4544
114,128.0,-8996
115,40.0,-3123
116,58.0,-2942
117,128.0,-9806
118,89.0,-6754
119,62.0,-2391
120,27.0,-1717
121,55.0,-3337
122,50.0,-2934
123,48.0,-2150
124,64.0,-5151
125,51.0,-2949
126,62.0,-2974
127,48.0,-3529
128,46.0,-1949
129,69.0,-3948
130,41.0,-3351
131,46.0,-3527
132,60.0,-3342
133,84.0,-4986
134,91.0,-6187
135,69.0,-4744
136,50.0,-3133
137,47.0,-2533
138,116.0,-7036
139,33.0,-2334
140,47.0,-3144
141,66.0,-4343
142,38.0,-2126
143,63.0,-4141
144,89.0,-6384
145,54.0,-1744
146,50.0,-2620
147,80.0,-5167
148,47.0,-3329
149,67.0,-3349
150,31.0,-1721
151,22.0,-518
152,124.0,-9205
153,105.0,-7395
154,30.0,-2118
155,23.0,-1116
156,192.0,-14049
157,71.0,-4561
158,47.0,-2348
159,36.0,-1328
160,39.0,-1928
161,45.0,-3526
162,98.0,-7175
163,26.0,-1517
164,54.0,-3947
165,107.0,-6985
166,72.0,-4988
167,26.0,-536
168,104.0,-6982
169,98.0,-7360
170,107.0,-5805
171,45.0,-3526
172,44.0,-2331
173,41.0,-1731
174,79.0,-4754
175,66.0,-5139
176,61.0,-4537
177,38.0,-1529
178,35.0,-2933
179,188.0,-14443
180,55.0,-3763
181,41.0,-3124
182,44.0,-1933
183,57.0,-2173
184,38.0,-2524
185,84.0,-7360
186,54.0,-2142
187,87.0,-4364
188,43.0,-3126
189,32.0,-940
190,97.0,-5994
191,72.0,-4363
192,47.0,-2931
193,58.0,-2743
194,64.0,-2962
195,29.0,-1520
196,88.0,-2986
197,80.0,-4357
198,80.0,-7555
199,152.0,-10469
200,82.0,-5368
201,64.0,-5151
202,42.0,-3338
203,18.0,-926
204,79.0,-4768
205,69.0,-6933
206,117.0,-9369
207,83.0,-5170
208,45.0,-3341
209,34.0,-2122
210,62.0,-2590
211,107.0,-8633
212,97.0,-8155
213,136.0,-9842
214,34.0,-1923
215,27.0,-1518
216,33.0,-2320
217,52.0,-3135
218,32.0,-1921
219,40.0,-2952
220,53.0,-3136
221,53.0,-2766
222,89.0,-5375
223,64.0,-3346
224,108.0,-5010
225,135.0,-7851
226,39.0,-2155
227,36.0,-745
228,49.0,-2535
229,30.0,-1137
230,86.0,-7149
231,168.0,-14863
