,Steps until goal,Reward_until_goal
323,40.0,-2327
324,40.0,-1545
325,54.0,-2781
326,44.0,-2345
327,52.0,-3533
328,38.0,-1159
329,62.0,-2761
330,42.0,-1418
331,46.0,-1565
332,49.0,-2165
333,34.0,-1155
334,32.0,-940
335,64.0,-2976
336,38.0,-1159
337,62.0,-2576
338,37.0,-1926
339,28.0,-723
340,55.0,-2740
341,39.0,-2368
342,58.0,-5145
343,26.0,-735
344,64.0,-4554
345,22.0,-333
346,70.0,-4417
347,22.0,-361
348,59.0,-2175
349,61.0,-3570
350,67.0,-4386
351,24.0,-747
352,43.0,-2742
353,36.0,-1171
354,114.0,-7233
355,54.0,-2739
356,52.0,-2168
357,27.0,-963
358,46.0,-2944
359,16.0,-313
360,43.0,-2131
361,28.0,-1320
362,93.0,-5976
363,62.0,-4737
364,36.0,-1527
365,38.0,-1543
366,28.0,-751
367,52.0,-2779
368,45.0,-2943
369,77.0,-5761
370,88.0,-5032
371,26.0,-948
372,35.0,-1341
373,24.0,-719
374,28.0,-1020
375,41.0,-1745
376,20.0,-331
377,36.0,-1527
378,68.0,-3947
379,30.0,-526
380,33.0,-2121
381,34.0,-1169
382,47.0,-1751
383,25.0,-535
384,24.0,-548
385,22.0,-944
386,45.0,-1749
387,30.0,-1137
388,39.0,-1942
389,34.0,-2520
390,22.0,-731
391,36.0,-3119
392,42.0,-2727
393,38.0,-988
394,46.0,-2375
395,49.0,-2350
396,48.0,-2164
397,33.0,-1339
398,39.0,-4117
399,54.0,-1971
400,46.0,-1778
401,34.0,-942
402,42.0,-1987
403,14.0,-112
404,42.0,-1945
405,57.0,-3154
406,24.0,-1714
407,26.0,-1517
408,30.0,-1734
409,46.0,-2375
410,33.0,-2149
411,20.0,-132
412,28.0,-1320
413,58.0,-2415
414,34.0,-1937
415,38.0,-2325
416,30.0,-2729
417,137.0,-8593
418,27.0,-722
419,95.0,-7783
420,41.0,-1361
421,35.0,-1938
422,46.0,-2944
423,56.0,-2186
424,53.0,-4344
425,41.0,-2342
426,20.0,-530
427,36.0,-958
428,40.0,-2526
429,32.0,-1523
430,70.0,-4176
431,34.0,-1141
432,44.0,-1762
433,65.0,-4342
434,40.0,-2781
435,18.0,-713
436,69.0,-4346
437,56.0,-4361
438,53.0,-2766
439,52.0,-2552
440,28.0,-1121
441,58.0,-3738
442,28.0,-765
443,65.0,-4370
444,30.0,-1137
445,37.0,-2338
446,38.0,-1969
447,31.0,-939
448,69.0,-3962
449,41.0,-2129
450,20.0,-715
451,60.0,-4749
452,64.0,-2620
453,57.0,-2201
454,22.0,-532
455,54.0,-2170
456,56.0,-2982
457,22.0,-717
458,38.0,-1941
459,20.0,-729
460,41.0,-1546
461,26.0,-1915
462,44.0,-2544
463,41.0,-3124
464,44.0,-1563
465,47.0,-1992
466,34.0,-1141
467,34.0,-1525
468,27.0,-736
469,36.0,-1171
470,22.0,-944
471,16.0,-313
472,53.0,-2780
473,46.0,-3143
474,18.0,-514
475,52.0,-2594
476,22.0,-1115
477,37.0,-1343
478,67.0,-3988
479,68.0,-3975
480,24.0,-960
481,38.0,-2922
482,53.0,-2368
483,42.0,-1547
484,69.0,-4416
485,51.0,-2764
486,28.0,-936
487,32.0,-1352
488,32.0,-584
489,38.0,-1557
490,40.0,-763
491,32.0,-940
492,32.0,-1537
493,37.0,-2338
494,27.0,-1333
495,14.0,73
496,38.0,-1927
497,39.0,-3335
498,29.0,-1534
499,72.0,-2813
500,38.0,-1557
501,41.0,-1787
502,32.0,-2319
503,108.0,-6644
504,18.0,-528
505,59.0,-2971
506,35.0,-1725
507,46.0,-1352
508,44.0,-2928
509,79.0,-4583
510,24.0,-1515
511,32.0,-2717
512,25.0,-919
513,40.0,-1559
514,40.0,-2526
515,53.0,-2752
516,60.0,-3569
517,48.0,-2164
518,31.0,-1721
519,38.0,-1955
520,31.0,-1152
521,20.0,67
522,98.0,-4815
523,58.0,-2586
524,30.0,-952
525,34.0,-1937
526,28.0,-1334
527,41.0,-1546
528,38.0,-2140
529,46.0,-1764
530,58.0,-4363
531,92.0,-5022
532,66.0,-4570
533,26.0,-522
534,51.0,-3347
535,24.0,-520
536,40.0,-1559
537,39.0,-1743
538,37.0,-2921
539,71.0,-4006
540,36.0,-745
541,22.0,-916
542,30.0,-1720
543,37.0,-2139
544,31.0,-2133
545,71.0,-2969
546,56.0,-2371
547,30.0,-568
548,34.0,-1354
549,25.0,-1317
550,20.0,-729
551,41.0,-2939
552,43.0,-1946
553,38.0,-1358
554,40.0,-3137
555,35.0,-2720
556,34.0,-942
557,50.0,-2180
558,57.0,-3367
559,26.0,-934
560,57.0,-2742
561,55.0,-2953
562,45.0,-2360
563,42.0,-1362
564,47.0,-2575
565,20.0,-1127
566,33.0,-1538
567,28.0,-1533
568,82.0,-6192
569,38.0,-1770
570,34.0,-1937
571,41.0,-3721
572,39.0,-1544
573,28.0,-922
574,58.0,-2572
575,67.0,-4145
576,46.0,-1963
577,69.0,-5355
578,44.0,-1350
579,67.0,-3391
580,19.0,-913
581,32.0,-528
582,44.0,-1947
583,38.0,-1187
584,18.0,-514
585,32.0,-542
586,41.0,-1972
587,31.0,-1536
588,34.0,-743
589,22.0,-717
590,40.0,-1545
591,46.0,-1621
592,48.0,-2974
593,34.0,-1340
594,44.0,-2942
595,55.0,-3578
596,58.0,-1818
597,50.0,-2365
598,52.0,-2353
599,34.0,-956
600,106.0,-6600
601,60.0,-3171
602,44.0,-2530
603,34.0,-2321
604,32.0,-528
605,73.0,-5743
606,16.0,-313
607,60.0,-2574
608,33.0,-983
609,53.0,-1970
610,51.0,-3986
611,60.0,-3754
612,49.0,-2151
613,32.0,-1537
614,32.0,-1750
615,43.0,-1761
616,50.0,-2934
617,44.0,-2345
618,18.0,-315
619,48.0,-3372
620,28.0,-1348
621,26.0,-365
622,53.0,-2979
623,30.0,-1137
624,36.0,-1342
625,42.0,-1959
626,50.0,-2564
627,63.0,-3558
628,24.0,-932
629,39.0,-2169
630,34.0,-1539
631,42.0,-1533
632,59.0,-4364
633,37.0,-1741
634,88.0,-5203
635,53.0,-2752
636,60.0,-3740
637,36.0,-1953
638,26.0,-1531
639,56.0,-2584
640,35.0,-2919
641,38.0,-1941
642,46.0,-1565
643,24.0,-1131
644,26.0,-962
645,42.0,-1959
646,62.0,-3215
647,35.0,-1966
648,18.0,-315
649,36.0,-2337
650,34.0,-2136
651,53.0,-3590
652,26.0,-934
653,64.0,-3985
654,45.0,-2346
655,56.0,-3949
656,57.0,-2386
657,46.0,-2560
658,45.0,-1763
659,26.0,-920
660,46.0,-2759
661,35.0,-1526
662,89.0,-4579
663,98.0,-5597
664,65.0,-2991
665,33.0,-1325
666,18.0,-713
667,22.0,-930
668,30.0,-725
669,30.0,-1336
670,65.0,-2963
671,24.0,-136
672,18.0,-116
673,32.0,-1523
674,36.0,-1328
675,35.0,-2336
676,50.0,-1370
677,38.0,-2723
678,30.0,-1336
679,22.0,-319
680,34.0,-1752
681,22.0,-731
682,49.0,-3558
683,43.0,-2585
684,48.0,-2946
685,79.0,-5194
686,24.0,-1117
687,28.0,-1533
688,26.0,-721
689,75.0,-4153
690,24.0,-918
691,42.0,-1732
692,30.0,-1521
693,29.0,-1520
694,27.0,-1532
695,35.0,-1739
696,30.0,-1535
697,44.0,-1336
698,24.0,-321
699,29.0,-1562
700,67.0,-4770
701,70.0,-4773
702,32.0,-1366
703,42.0,-2144
704,82.0,-2439
705,61.0,-4139
706,32.0,-1153
707,76.0,-4196
708,30.0,-1151
709,82.0,-8339
710,32.0,-954
711,38.0,-1941
712,58.0,-3340
713,38.0,-1784
714,41.0,-1333
715,42.0,-1149
716,54.0,-3179
717,59.0,-4336
718,37.0,-1528
719,53.0,-3349
720,44.0,-2530
721,39.0,-2539
722,46.0,-1736
723,32.0,-1537
724,39.0,-1530
725,28.0,-1718
726,69.0,-5156
727,35.0,-2137
728,20.0,-516
729,38.0,-2325
730,78.0,-5975
731,26.0,-721
732,27.0,-1148
733,30.0,-1123
734,44.0,-3155
735,22.0,-717
736,52.0,-1798
737,26.0,-1915
738,35.0,-1725
739,37.0,-2139
740,24.0,-534
741,54.0,-2184
742,78.0,-4554
743,68.0,-4771
