,Steps until goal,Reward_until_goal
318,97.0,-7771
319,117.0,-7009
320,105.0,-7437
321,26.0,-1517
322,71.0,-4844
323,71.0,-3863
324,111.0,-7841
325,139.0,-12247
326,38.0,-1145
327,35.0,-1369
328,39.0,-2923
329,85.0,-5598
330,84.0,-6791
331,84.0,-6606
332,51.0,-2338
333,90.0,-7394
334,88.0,-6226
335,115.0,-9395
336,45.0,-3781
337,133.0,-9951
338,38.0,-1159
339,228.0,-16501
340,106.0,-10950
341,52.0,-3163
342,102.0,-6795
343,116.0,-10405
344,69.0,-6165
345,117.0,-9879
346,68.0,-3989
347,35.0,-2720
348,93.0,-7254
349,137.0,-9473
350,72.0,-6168
351,63.0,-4410
352,141.0,-10301
353,59.0,-2828
354,89.0,-6824
355,76.0,-6556
356,165.0,-14050
357,67.0,-5196
358,87.0,-8742
359,73.0,-5401
360,97.0,-8197
361,39.0,-3122
362,129.0,-9636
363,254.0,-16384
364,152.0,-9673
365,50.0,-4753
366,145.0,-13206
367,102.0,-6994
368,110.0,-8266
369,77.0,-7182
370,117.0,-7037
371,99.0,-8000
372,65.0,-6161
373,175.0,-12779
374,71.0,-5214
375,111.0,-6490
376,99.0,-7190
377,194.0,-16736
378,77.0,-5775
379,62.0,-3372
380,89.0,-7564
381,159.0,-14840
382,47.0,-2945
383,32.0,-1750
384,81.0,-3377
385,169.0,-15618
386,89.0,-5773
387,130.0,-10105
388,78.0,-7752
389,149.0,-10906
390,138.0,-9488
391,49.0,-3544
392,267.0,-25621
393,77.0,-4651
394,54.0,-3549
395,26.0,-1730
396,161.0,-13760
397,31.0,-2133
398,132.0,-9056
399,65.0,-4597
400,34.0,-1368
401,43.0,-4334
402,146.0,-12708
403,96.0,-6831
404,24.0,-1358
405,67.0,-3988
406,100.0,-5997
407,46.0,-3199
408,66.0,-3673
409,30.0,-1350
410,102.0,-7064
411,328.0,-22809
412,123.0,-6886
413,81.0,-5779
414,103.0,-9226
415,88.0,-8003
416,67.0,-4002
417,68.0,-4757
418,174.0,-13759
419,146.0,-12837
420,119.0,-8673
421,90.0,-7764
422,58.0,-5543
423,91.0,-6030
424,202.0,-14981
425,28.0,-1561
426,221.0,-18341
427,95.0,-7172
428,86.0,-7177
429,96.0,-9362
430,115.0,-6267
431,59.0,-5373
432,20.0,-942
433,80.0,-3446
434,49.0,-3785
435,75.0,-5148
436,99.0,-6635
437,44.0,-4747
438,59.0,-5956
439,129.0,-11200
440,129.0,-11399
441,63.0,-6145
442,47.0,-3556
443,131.0,-10619
444,99.0,-7501
445,170.0,-9461
446,145.0,-10930
447,76.0,-5006
448,177.0,-11388
449,63.0,-3785
450,30.0,-1322
451,39.0,-2738
452,144.0,-10503
453,74.0,-7364
454,125.0,-10016
455,82.0,-7756
456,70.0,-6536
457,150.0,-10680
458,43.0,-3922
459,231.0,-17541
460,59.0,-4933
461,95.0,-5678
462,37.0,-2736
463,125.0,-9248
464,262.0,-24680
465,99.0,-9208
466,190.0,-17046
467,159.0,-14854
468,44.0,-3452
469,25.0,-1317
470,73.0,-3383
471,147.0,-9895
472,65.0,-4398
473,57.0,-3224
474,42.0,-2329
475,40.0,-4132
476,70.0,-3436
477,53.0,-4756
478,138.0,-10881
479,113.0,-7375
480,99.0,-9407
481,52.0,-2308
482,213.0,-17537
483,168.0,-12674
484,23.0,-1940
485,68.0,-5951
486,133.0,-11630
487,190.0,-14798
488,179.0,-10894
489,133.0,-9015
490,50.0,-2948
491,47.0,-3954
492,66.0,-5579
493,93.0,-8179
494,94.0,-7995
495,289.0,-23084
496,75.0,-7777
