,Steps until goal,Reward_until_goal
0,22.0,-120
1,26.0,-1716
2,49.0,-2933
3,35.0,-1924
4,66.0,-3575
5,76.0,-3969
6,84.0,-5014
7,30.0,-924
8,50.0,-2337
9,107.0,-7781
10,34.0,-1738
11,37.0,-1542
12,85.0,-6963
13,47.0,-1339
14,43.0,-1946
15,36.0,-2337
16,28.0,-950
17,42.0,-2741
18,58.0,-4136
19,36.0,-1342
20,81.0,-6163
21,43.0,-2543
22,58.0,-3951
23,109.0,-7982
24,72.0,-5358
25,131.0,-11586
26,47.0,-1552
27,60.0,-3740
28,74.0,-5559
29,47.0,-2362
30,76.0,-4367
31,24.0,-1714
32,70.0,-4759
33,173.0,-13035
34,64.0,-2990
35,59.0,-6127
36,48.0,-2932
37,80.0,-4214
38,105.0,-9570
39,60.0,-3555
40,87.0,-5813
41,28.0,-2315
42,87.0,-6553
43,74.0,-4564
44,72.0,-4548
45,87.0,-5970
46,183.0,-12022
47,34.0,-1326
48,61.0,-3570
49,53.0,-3136
50,36.0,-2522
51,42.0,-3537
52,42.0,-2727
53,49.0,-3331
54,55.0,-4531
55,46.0,-2148
56,47.0,-2348
57,46.0,-2333
58,120.0,-7452
59,87.0,-4392
60,72.0,-3368
61,54.0,-3137
62,90.0,-5973
63,43.0,-4917
64,85.0,-4802
65,135.0,-8804
66,47.0,-2135
67,28.0,-737
68,41.0,-2726
69,60.0,-3569
70,131.0,-8402
71,63.0,-4155
72,40.0,-2540
73,42.0,-1575
74,28.0,-1718
75,20.0,-516
76,103.0,-5986
77,62.0,-4737
78,92.0,-4582
79,58.0,-2572
80,70.0,-4745
81,114.0,-8399
82,30.0,-1919
83,62.0,-4552
84,91.0,-7154
85,54.0,-3535
86,45.0,-2531
87,46.0,-3129
88,73.0,-3753
89,79.0,-4768
90,44.0,-3127
91,18.0,-1324
92,36.0,-1328
93,28.0,-950
94,116.0,-7619
95,73.0,-5956
96,40.0,-1346
97,49.0,-2734
98,46.0,-2134
99,55.0,-4545
100,47.0,-2149
101,140.0,-9221
102,45.0,-3341
103,69.0,-4545
104,56.0,-4546
105,46.0,-2347
106,62.0,-3742
107,98.0,-6166
108,117.0,-9198
109,53.0,-3349
110,38.0,-2126
111,38.0,-3320
112,160.0,-10278
113,69.0,-3037
114,56.0,-4731
115,40.0,-1957
116,81.0,-4400
117,59.0,-2943
118,32.0,-755
119,64.0,-6928
120,52.0,-2936
121,39.0,-2340
122,61.0,-3015
123,60.0,-3555
124,60.0,-2560
125,51.0,-3588
126,118.0,-12184
127,65.0,-6147
128,70.0,-4176
129,50.0,-3929
130,61.0,-5532
131,108.0,-5380
132,26.0,-934
133,32.0,-1921
134,41.0,-2953
135,66.0,-3575
136,67.0,-3803
137,65.0,-4768
138,104.0,-7806
139,94.0,-6759
140,55.0,-3550
141,34.0,-1183
142,48.0,-4126
143,94.0,-7384
144,35.0,-2322
145,87.0,-6155
146,52.0,-4741
147,107.0,-5976
148,76.0,-8134
149,28.0,-1149
150,63.0,-3373
151,86.0,-9139
152,117.0,-6824
153,104.0,-6441
154,53.0,-3335
155,85.0,-4575
156,50.0,-3531
157,56.0,-3935
158,106.0,-6429
159,77.0,-4965
160,51.0,-3532
161,37.0,-2921
162,92.0,-5762
163,32.0,-940
164,40.0,-1730
165,66.0,-3163
166,108.0,-7199
167,62.0,-4140
168,147.0,-9811
169,35.0,-2549
170,43.0,-3325
171,101.0,-5642
172,44.0,-2146
173,41.0,-3735
174,85.0,-5371
175,59.0,-3198
176,38.0,-1571
177,32.0,-2717
178,68.0,-4558
179,78.0,-4994
180,59.0,-3540
181,121.0,-8975
182,56.0,-4347
183,78.0,-5165
184,26.0,-1332
185,44.0,-3127
186,34.0,-1724
187,24.0,-335
188,87.0,-5785
189,50.0,-2337
190,93.0,-5819
191,48.0,-3330
192,26.0,-1119
193,91.0,-6386
194,33.0,-1922
195,36.0,-1129
196,43.0,-1946
197,47.0,-3158
198,85.0,-8157
199,58.0,-2359
200,26.0,-920
201,76.0,-6741
202,83.0,-5795
203,36.0,-1726
204,74.0,-4749
205,48.0,-3159
206,27.0,-1532
207,88.0,-4564
208,26.0,-1332
209,47.0,-2931
210,26.0,-1318
211,64.0,-3615
212,29.0,-923
213,54.0,-3535
214,76.0,-4580
215,57.0,-2742
216,60.0,-3157
217,32.0,-1722
218,93.0,-6360
219,69.0,-4388
220,71.0,-5343
221,32.0,-1153
222,48.0,-3927
223,29.0,-1164
224,70.0,-2982
225,65.0,-4157
226,51.0,-3944
227,188.0,-14059
228,30.0,-1734
229,41.0,-2939
230,93.0,-6971
231,57.0,-3011
232,30.0,-924
233,72.0,-3169
234,90.0,-4793
235,42.0,-2528
236,92.0,-6586
237,63.0,-3387
238,53.0,-4131
239,74.0,-4962
240,60.0,-3342
241,58.0,-2956
242,66.0,-3774
243,70.0,-2954
244,53.0,-3178
245,54.0,-3933
246,43.0,-2173
247,79.0,-5365
248,39.0,-4145
249,91.0,-5974
250,63.0,-2605
251,137.0,-8635
252,77.0,-4424
253,46.0,-1820
254,54.0,-3961
255,53.0,-4145
256,99.0,-7787
257,39.0,-2923
258,93.0,-8179
259,43.0,-3126
260,37.0,-2736
261,55.0,-2754
262,145.0,-7620
263,153.0,-9405
264,51.0,-4527
265,96.0,-5993
266,24.0,-576
267,37.0,-1741
268,51.0,-3731
269,48.0,-3145
270,54.0,-2341
271,81.0,-3164
272,100.0,-4377
273,68.0,-4942
274,32.0,-727
275,60.0,-3384
276,66.0,-6944
277,44.0,-2729
278,46.0,-2134
279,60.0,-2546
280,65.0,-4768
281,38.0,-1941
282,114.0,-6196
283,93.0,-5379
284,52.0,-2182
285,79.0,-5407
286,47.0,-3158
287,54.0,-3137
288,77.0,-5391
289,65.0,-3375
290,38.0,-1728
291,49.0,-3729
292,71.0,-4959
293,31.0,-1721
294,83.0,-5795
295,52.0,-2566
296,24.0,-1714
297,96.0,-6590
298,40.0,-3336
299,66.0,-4357
300,80.0,-4982
301,79.0,-5578
302,40.0,-2341
303,60.0,-3356
304,77.0,-3998
305,32.0,-1750
306,22.0,-546
307,53.0,-2553
308,65.0,-4171
309,60.0,-4749
310,116.0,-9382
311,50.0,-3175
312,57.0,-4931
313,28.0,-1718
314,31.0,-1735
315,76.0,-5561
316,34.0,-1923
317,66.0,-4755
318,42.0,-2727
319,83.0,-5753
320,48.0,-3742
321,77.0,-5576
322,67.0,-4969
323,56.0,-3537
324,44.0,-1933
325,43.0,-2330
326,96.0,-7159
327,85.0,-4191
328,97.0,-5767
329,36.0,-1328
330,83.0,-7558
331,42.0,-3324
332,90.0,-5020
333,31.0,-1337
334,121.0,-9586
335,46.0,-2759
336,18.0,-315
337,63.0,-5534
338,76.0,-4367
339,47.0,-4537
340,78.0,-2620
341,22.0,-1129
342,35.0,-2521
343,50.0,-2365
344,98.0,-6180
345,98.0,-5370
346,55.0,-4133
347,40.0,-2341
348,47.0,-3343
349,22.0,-1513
350,78.0,-6970
351,139.0,-7045
352,39.0,-1942
353,54.0,-4373
354,60.0,-4365
355,139.0,-10229
356,50.0,-2990
357,74.0,-4194
358,60.0,-4393
359,137.0,-10440
360,78.0,-4554
361,25.0,-1118
362,57.0,-3140
363,71.0,-5144
364,34.0,-2150
365,20.0,-715
366,70.0,-5768
367,34.0,-1738
368,32.0,-2134
369,28.0,-2713
370,21.0,-716
371,115.0,-9011
372,83.0,-5369
373,48.0,-4524
374,102.0,-5999
375,50.0,-2777
376,127.0,-6237
377,52.0,-2936
378,69.0,-4175
379,32.0,-2134
380,54.0,-4331
381,33.0,-2320
382,51.0,-1940
383,83.0,-5568
384,101.0,-5572
385,62.0,-3557
386,43.0,-2372
387,37.0,-1343
388,54.0,-3563
389,88.0,-7165
390,24.0,-918
391,43.0,-2557
392,68.0,-3549
393,101.0,-6979
394,36.0,-1768
395,31.0,-2119
396,144.0,-7832
397,46.0,-3129
398,75.0,-3982
399,98.0,-6166
400,32.0,-926
401,31.0,-1721
402,32.0,-2333
403,66.0,-5551
404,62.0,-3344
405,51.0,-2551
406,44.0,-4363
407,62.0,-4566
408,85.0,-5399
409,61.0,-4352
410,45.0,-2730
411,60.0,-3014
412,80.0,-4385
413,61.0,-3542
414,78.0,-5947
415,40.0,-2938
416,63.0,-2563
417,41.0,-2726
418,53.0,-3164
419,48.0,-2548
420,32.0,-1722
421,65.0,-4740
422,29.0,-1534
423,40.0,-2156
424,52.0,-5324
425,42.0,-1987
426,72.0,-5770
427,47.0,-2348
428,58.0,-5571
429,136.0,-9018
430,53.0,-4543
431,73.0,-5558
432,66.0,-3149
433,128.0,-9820
434,36.0,-3119
435,38.0,-974
436,54.0,-2753
437,28.0,-1362
438,101.0,-6368
439,88.0,-3611
440,62.0,-3742
441,110.0,-7627
442,30.0,-1919
443,57.0,-4746
444,20.0,-729
445,29.0,-923
446,37.0,-1755
447,71.0,-3978
448,30.0,-1933
449,69.0,-4573
450,30.0,-1123
451,34.0,-1141
452,19.0,-515
453,70.0,-4176
454,107.0,-6601
455,82.0,-5354
456,42.0,-1732
457,71.0,-4575
458,41.0,-2342
459,46.0,-1949
460,28.0,-367
461,22.0,-532
462,89.0,-5972
463,94.0,-6047
464,68.0,-4757
465,98.0,-7203
466,63.0,-4340
467,59.0,-5331
468,79.0,-4555
469,28.0,-1917
470,78.0,-6146
471,66.0,-4741
472,43.0,-2131
473,42.0,-2727
474,41.0,-2527
475,83.0,-4018
476,76.0,-5163
477,86.0,-7575
478,112.0,-6791
479,139.0,-10201
480,53.0,-5922
481,28.0,-1334
482,62.0,-4182
483,70.0,-3352
484,137.0,-11990
485,52.0,-4158
486,30.0,-1364
487,36.0,-1342
488,42.0,-2329
489,40.0,-3336
490,101.0,-6567
491,47.0,-3343
492,36.0,-1925
493,71.0,-4746
494,33.0,-1524
495,49.0,-2748
496,61.0,-5532
497,91.0,-5178
498,32.0,-1153
499,32.0,-926
500,59.0,-2018
501,60.0,-4152
502,35.0,-2123
503,79.0,-6772
504,37.0,-1940
505,41.0,-2328
506,30.0,-1123
507,34.0,-771
508,38.0,-1941
509,57.0,-4362
510,27.0,-1916
511,91.0,-5789
512,74.0,-8530
513,68.0,-3591
514,69.0,-4147
515,39.0,-1757
516,51.0,-3944
517,47.0,-2931
518,38.0,-1941
519,42.0,-2727
520,81.0,-3775
521,54.0,-2540
522,52.0,-2964
523,64.0,-1555
524,181.0,-15019
525,48.0,-3344
526,65.0,-4583
527,83.0,-4360
528,32.0,-769
529,37.0,-2736
530,52.0,-3334
531,22.0,-1115
532,46.0,-2930
533,78.0,-5961
534,74.0,-8743
535,28.0,-1519
536,60.0,-4934
537,65.0,-5138
538,62.0,-2960
539,84.0,-6180
540,110.0,-7599
541,49.0,-2364
542,73.0,-4350
543,86.0,-5770
544,76.0,-6556
545,54.0,-2341
546,37.0,-1727
547,47.0,-2533
548,39.0,-1928
549,75.0,-4949
550,40.0,-2355
551,96.0,-8154
552,89.0,-5773
553,118.0,-7024
554,43.0,-2543
555,60.0,-3754
556,68.0,-4160
557,59.0,-4151
558,141.0,-7445
559,41.0,-2129
560,64.0,-5151
561,133.0,-10195
562,69.0,-4360
563,75.0,-3186
564,56.0,-2200
565,116.0,-8003
566,48.0,-1340
567,24.0,-1117
568,66.0,-3348
569,47.0,-2774
570,132.0,-11971
571,50.0,-5137
572,32.0,-1935
573,24.0,-1117
574,60.0,-4138
575,46.0,-1736
576,47.0,-2760
577,51.0,-2579
578,72.0,-8130
579,45.0,-3966
580,35.0,-1568
581,69.0,-3791
582,141.0,-9009
583,59.0,-4933
584,62.0,-4992
585,70.0,-4361
586,122.0,-8180
587,45.0,-3355
588,42.0,-1334
589,65.0,-3361
590,97.0,-6378
591,78.0,-6942
592,33.0,-1723
593,76.0,-4182
594,76.0,-5348
595,203.0,-13463
596,30.0,-540
597,32.0,-926
598,168.0,-14238
599,66.0,-4371
600,51.0,-2750
601,101.0,-6808
602,55.0,-3990
603,55.0,-3948
604,44.0,-1933
605,67.0,-3960
606,43.0,-2927
607,55.0,-4730
608,57.0,-3168
609,38.0,-1969
610,47.0,-3528
611,56.0,-3537
612,58.0,-3340
613,108.0,-7583
614,140.0,-9064
615,71.0,-3367
616,60.0,-4550
617,44.0,-2345
618,89.0,-7990
619,96.0,-6988
620,34.0,-1326
621,40.0,-1758
622,45.0,-2346
623,98.0,-7374
624,38.0,-1131
625,111.0,-6392
626,44.0,-1933
627,63.0,-3544
628,50.0,-2578
629,42.0,-2528
630,39.0,-2724
631,101.0,-7562
632,122.0,-8592
633,58.0,-3766
634,60.0,-3967
635,86.0,-5571
