,Steps until goal,Reward_until_goal
0,33.0,-2931
1,44.0,-2942
2,171.0,-11640
3,56.0,-4532
4,28.0,-1121
5,54.0,-2781
6,96.0,-4045
7,45.0,-3327
8,47.0,-3357
9,56.0,-3949
10,58.0,-3951
11,45.0,-3725
12,54.0,-3762
13,94.0,-6176
14,32.0,-1139
15,66.0,-4968
16,62.0,-4964
17,64.0,-3360
18,42.0,-2727
19,18.0,-130
20,46.0,-3129
21,44.0,-4747
22,50.0,-3147
23,81.0,-4599
24,84.0,-6550
25,27.0,-1319
26,32.0,-1722
27,157.0,-10645
28,48.0,-2534
29,34.0,-2335
30,111.0,-5837
31,36.0,-1143
32,34.0,-1155
33,36.0,-1925
34,19.0,-714
35,41.0,-2754
36,90.0,-6357
37,16.0,-313
38,30.0,-924
39,73.0,-3198
40,104.0,-7195
41,73.0,-4748
42,101.0,-6965
43,87.0,-5558
44,76.0,-4566
45,75.0,-4977
46,89.0,-6356
47,82.0,-5822
48,37.0,-1741
49,62.0,-2761
50,44.0,-2373
51,74.0,-3199
52,77.0,-5349
53,46.0,-2532
54,69.0,-2967
55,20.0,-317
56,18.0,-912
57,32.0,-1139
58,48.0,-1738
59,40.0,-2128
60,29.0,-2316
61,115.0,-8470
62,34.0,-2122
63,56.0,-2940
64,44.0,-2942
65,116.0,-7776
66,70.0,-6138
67,46.0,-1750
68,61.0,-4537
69,42.0,-1732
70,126.0,-8069
71,45.0,-2147
72,111.0,-7984
73,31.0,-1920
74,50.0,-3332
75,51.0,-3745
76,20.0,-914
77,50.0,-3346
78,70.0,-4972
79,78.0,-4568
80,84.0,-6749
81,59.0,-2971
82,54.0,-3336
83,80.0,-6148
84,107.0,-6587
85,38.0,-747
86,63.0,-3757
87,53.0,-3946
88,46.0,-1551
89,69.0,-4374
90,18.0,-514
91,36.0,-1939
92,49.0,-4525
93,82.0,-4785
94,77.0,-5761
95,77.0,-3558
96,36.0,-1342
97,72.0,-4960
98,46.0,-1366
99,65.0,-4768
100,94.0,-6759
101,88.0,-6397
102,56.0,-3949
103,82.0,-5766
104,77.0,-4794
105,69.0,-4573
106,47.0,-2547
107,36.0,-1740
108,50.0,-3346
109,40.0,-2142
110,42.0,-1746
111,69.0,-5341
112,93.0,-6175
113,45.0,-2161
114,158.0,-9892
115,67.0,-5552
116,47.0,-3343
117,43.0,-2927
118,61.0,-4537
119,32.0,-940
120,47.0,-3130
121,38.0,-3917
122,105.0,-9783
123,55.0,-4147
124,75.0,-4963
125,20.0,-317
126,109.0,-7797
127,81.0,-5992
128,48.0,-2136
129,63.0,-4738
130,66.0,-6347
131,32.0,-1722
132,39.0,-1956
133,64.0,-3545
134,54.0,-4345
135,32.0,-940
136,56.0,-5157
137,81.0,-6760
138,40.0,-2128
139,42.0,-2329
140,62.0,-3002
141,18.0,-343
142,43.0,-1733
143,41.0,-4318
144,52.0,-2154
145,48.0,-2590
146,74.0,-6739
147,24.0,-520
148,66.0,-3362
149,58.0,-2956
150,37.0,-2324
