,Scores,Episode length
0,-114.81905594143478,152
1,-106.18412808210722,127
2,-161.80653163210877,106
3,-112.24719314379358,82
4,-154.98864713855664,106
5,-195.30633253039423,69
6,-167.9598057994824,88
7,-243.37123344500543,73
8,-1.1205798187249816,1000
9,-243.96320271765856,73
10,-277.1139947064622,78
11,-167.76460361396482,87
12,-214.97067212652425,93
13,-265.1618382646451,75
14,-261.4000820353651,95
15,-145.5917053331839,128
16,-170.0785540904825,109
17,-202.45788590478327,171
18,-181.21524467676858,88
19,-106.52737763265125,65
20,-245.2277858190248,133
21,-199.76132973818883,127
22,-147.61530692435838,127
23,-108.25398674514618,143
24,-282.2662812114997,136
25,-138.3796147584734,86
26,48.35563477806659,109
27,-208.76433605034697,91
28,-190.8378710069722,176
29,-242.67920766005696,97
30,-228.52321584461632,78
31,-241.98980552384128,96
32,-136.09420735809277,86
33,-199.2528838355464,139
34,-218.8851704501755,113
35,-169.8751046946614,108
36,-266.3312282372878,97
37,-119.71837774634946,204
38,-109.50948260640138,63
39,-239.21556346135304,96
40,-206.09710873256665,70
41,-194.50107093719726,52
42,-197.0418464836318,58
43,-146.41593336809524,66
44,-170.97170943863358,69
45,-240.41285059049645,76
46,-225.87210992345518,99
47,-251.9833770204526,119
48,-279.08565488309017,90
49,-182.51648426526873,131
50,-145.87648810087282,127
51,-216.98017339953054,93
52,-131.0291310196632,126
53,-169.24322816365563,120
54,-235.9156223689246,79
55,-121.17231996221754,89
56,-114.30612665794966,226
57,-116.6219377106424,148
58,-245.71369299312056,75
59,-146.29968146065517,85
60,-248.5106288178352,91
61,-134.0115356615668,60
62,-105.41574341156785,106
63,-186.35192058535068,90
64,-228.65614665543384,120
65,-198.58357979074302,86
66,-100.0,121
67,-245.82246047215807,79
68,-186.14737206943528,114
69,-191.52384119007732,91
70,-97.53665813092724,62
71,-100.0,81
72,-116.26864178478095,62
73,-167.16421346641607,89
74,-253.50548532378778,73
75,-100.0,81
76,-291.49560024427717,79
77,-193.50160556695462,73
78,-171.71907139944713,72
79,-164.76116172761772,68
80,-267.8551859257729,80
81,-152.47006163568724,71
82,-185.52528242484777,154
83,-100.0,81
84,-116.35686001361648,143
85,-97.1500717892396,63
86,-316.90820771171616,72
87,-178.69110606330395,85
88,-145.07403405269315,106
89,-197.4724678265806,92
90,-124.17216093081876,135
91,-121.24288789354131,146
92,-110.74715199898912,103
93,-83.43319782183971,67
94,-96.98880933352211,103
95,-48.378542981622964,137
96,-103.19331199661184,122
97,-108.33650164430614,109
98,-123.86149670525566,95
99,-78.6393691882146,154
100,-74.43460352739,137
101,-131.36239242168764,147
102,-121.53302755791464,125
103,-151.2396598514019,352
104,-108.33972171244015,102
105,-82.6154160818433,128
106,-222.14071042623726,118
107,-143.91079967216882,108
108,-170.3266152067065,119
109,-142.06055975485165,89
110,-164.29479704917452,108
111,-80.31113433478653,114
112,-99.80486511448719,102
113,-185.1868293449871,129
114,-93.58798515179089,83
115,-261.4870454515882,79
116,-137.58309726864576,175
117,-212.34583263539594,98
118,-136.90333020934523,179
119,-106.42633945906307,164
120,-156.0987213300203,133
121,-122.3548639307832,131
122,-117.88028868029674,98
123,-156.50024133615693,91
124,-197.38352996578743,130
125,-194.55982398390825,115
126,-125.23017358625667,122
127,-99.82371177550299,108
128,-159.16174524339556,118
129,-160.1906058963428,98
130,-100.0,101
131,-258.7948785121412,148
132,-100.28753726789957,107
133,-106.96191302737796,203
134,-103.82067129250814,163
135,-139.20472450087522,108
136,-170.54053554933654,164
137,-102.02695663805498,100
138,-217.0907523699332,95
139,-112.95823180142501,123
140,-204.4991841127498,79
141,-224.44361759148376,139
142,-201.32465996526872,111
143,-190.7444639754923,171
144,-251.53018425300826,119
145,-109.78452215149585,142
146,-96.9670387065705,124
147,-100.0,101
148,-100.0,121
149,-119.4606026400639,84
150,-145.12863427602744,106
151,-207.79518298641517,73
152,40.28564708810276,108
153,-157.87214692637792,90
154,-108.35871398764743,102
155,-98.17142290020172,95
156,-111.54042479537712,79
157,-229.75342350456634,79
158,-162.92716530934206,80
159,-344.86738836223105,159
160,-220.8586260256313,178
161,-131.40967601996647,132
162,-100.79128920100361,250
163,-150.1880426068891,111
164,-146.80433159441648,158
165,-112.53238033092848,143
166,-104.6599104772256,103
167,-108.82369977880634,85
168,-77.84570094835576,89
169,-124.55062239117208,94
170,-100.0,141
171,-98.81103574947474,111
172,-148.28329250580197,93
173,-57.303675863573446,136
174,-226.37701440404567,152
175,-122.02435817779647,186
176,-221.98323716865627,109
177,-160.21411611038081,74
178,-231.26571064091098,86
179,-180.40403522269702,91
180,-124.65754126864742,169
181,-92.76617792396686,108
182,-167.4736205723514,114
183,-108.6018851227729,105
184,-102.96496184922248,73
185,-135.1971990344574,112
186,-100.0,101
187,-96.63895810407871,131
188,-91.68452938826724,83
189,-103.36841609301588,124
190,-100.0,81
191,-172.93001130637998,71
192,-108.12303687636806,144
193,-115.17593031413594,213
194,-52.0370865103941,133
195,-124.87949308237408,99
196,-158.93186050119533,139
197,-151.96592233259952,83
198,-74.36071970450584,72
199,-175.31082566095978,95
200,-159.60212756479277,152
201,-253.738202769394,159
202,-105.30653235905118,182
203,100.00044151530847,954
204,-145.08659772855907,118
205,-122.38936330743046,169
206,-117.87125188958305,97
207,-85.21924424864282,117
208,-104.01380198136067,197
209,-149.1954926926211,134
210,-134.0722314010571,89
211,-128.09861013909534,111
212,-98.58506813356568,142
213,-237.15023938372303,176
214,-105.816337447526,83
215,-84.73692070778038,122
216,-116.69041471996283,104
217,-97.43802021494264,170
218,-98.55270585959883,73
219,-100.0,101
220,-118.10225235196113,93
221,-60.073770383610686,80
222,-115.41496976184689,155
223,-129.6407947179679,155
224,-100.0,101
225,-99.49796232245005,104
226,-146.88412594779174,94
227,-259.902023523842,139
228,-108.04035202058195,183
229,-210.87583478824683,208
230,-260.05335518124934,154
231,-178.52817317526868,92
232,-145.3706206340367,149
233,-98.33107990685498,122
234,-264.9844364821452,176
235,-121.54692676159455,155
236,-85.19905740308235,149
237,-114.38062641458377,243
238,-126.07196721543224,124
239,-156.81945642142824,115
240,-225.2058640760181,138
241,-90.30863958182957,182
