,Scores,Episode length
0,-100.0,81
1,-104.01228425627721,62
2,-81.76087984131256,63
3,-129.6771626828106,75
4,-144.90961289413792,158
5,-109.54582367974187,82
6,-112.69510252273247,142
7,-204.66862900623275,72
8,-228.5377700085721,59
9,-154.17657230282146,67
10,-294.899663636457,77
11,-119.38009212556027,62
12,-75.41771292248919,102
13,-263.01705683607736,76
14,-100.0,81
15,-101.572450580047,102
16,-214.54853660435654,76
17,-202.01625223246725,52
18,-268.8900743610787,75
19,-158.8386632786778,65
20,-268.66561377997834,57
21,-168.50408705141336,67
22,-178.19248511956215,67
23,-179.95105412656883,86
24,-100.0,61
25,-161.4416931402438,73
26,-201.84991695523945,54
27,-198.20767461330416,71
28,-191.8984485522585,67
29,-234.49031644839803,74
30,-267.2678072697555,72
31,-125.17901981875832,125
32,-160.61723332925686,148
33,-207.59139987017718,95
34,-119.67574967929353,135
35,-221.3574993531849,94
36,-100.0,81
37,-170.20710540878673,127
38,-230.22765286249873,75
39,-252.0775481943551,137
40,-115.04173366935338,242
41,-154.18304226286165,170
42,-164.78711095786548,87
43,-128.23338411875758,103
44,-174.11837227206956,110
45,-253.31240441452107,100
46,-193.69430710798645,153
47,-174.77818712241174,136
48,-129.65297358068563,84
49,-131.12543130271402,188
50,-254.8040057506527,119
51,-290.47292161626217,119
52,-119.14433382464466,185
53,-210.27978499264012,118
54,-100.0,81
55,-118.9620249492263,74
56,-109.88819586736437,62
57,-178.4450716250329,88
58,-180.77805827868053,69
59,-100.0,81
60,-234.065633442257,77
61,-112.07161283050168,122
62,-167.8316669090109,108
63,-253.84901686081116,200
64,-122.42683014573923,84
65,-145.81023096103755,85
66,-194.97605278217614,213
67,-176.74812057186898,315
68,-95.53350343544672,97
69,-100.0,101
70,-122.2592399657985,83
71,-253.31549441858556,98
72,-127.4004543503235,106
73,-142.2287427966205,91
74,-100.0,101
75,-156.36512480699014,68
76,-143.77003655903857,85
77,-108.52937159479657,82
78,-121.15181007710508,86
79,-290.41781692830875,80
80,-172.96592290105056,100
81,-100.0,81
82,-20.784683640409042,132
83,-100.0,81
84,-195.48002195583769,69
85,-178.06310660826796,76
86,-108.64639379763477,82
87,-145.1270377948806,68
88,-186.69943169583874,71
89,-96.34753556777386,66
90,-170.3366730189461,111
91,-108.24396700965283,82
92,-180.39431962832492,112
93,-130.65230331621376,128
94,-121.69648164582921,84
95,-176.2522364931663,112
96,-186.07068113179128,97
97,-100.0,61
98,-98.6568223750582,70
99,-91.49329887330045,113
100,-125.16785090765438,114
101,-100.0,101
102,-85.99907061483107,193
103,-174.94749707050633,100
104,-107.25422776571621,84
105,-153.58775032233217,120
106,-228.5502563487817,90
107,-131.23780876902725,114
108,-99.1486154030013,96
109,-138.1009169619298,127
110,-104.90508346991373,222
111,-124.08901966932908,91
112,-72.35694792824572,106
113,-152.0810630950454,107
114,-121.40535798826274,123
115,-148.13348914085003,107
116,-116.29205690960212,80
117,-241.95427210146767,111
118,-130.99310603614515,129
119,-135.62656668219978,83
120,-190.67262310381676,110
121,-105.3986932422983,104
122,-101.83733150206066,107
123,-113.44022794052964,108
124,-142.65855500122805,91
125,-111.36301332064886,144
126,-204.9588601992967,116
127,-153.06291618073402,133
128,-140.41584030663677,109
129,-149.96718095906792,149
130,-161.12054954327806,154
131,-235.83750774181073,79
132,-240.7525128072248,96
133,-203.94067305072423,115
134,-107.0760830027659,103
135,-129.86363036250384,109
136,-117.00107864836406,104
137,-169.143148489703,170
138,-112.47408400480417,186
139,-160.84646277569007,85
140,-141.0980114066123,176
141,-97.31697088392743,129
142,-199.461817657899,126
143,-69.47853193051031,135
144,-134.9867565909982,89
145,-240.53058248838562,108
146,-177.4601289130952,155
147,-141.44759208996192,187
148,-162.28801812181288,151
149,-201.99680548216492,154
150,-162.02375704083698,193
151,-173.27133661806462,154
152,-212.76422722703848,76
153,-138.72718078546905,260
154,-115.69761574986185,88
155,-113.80837096649464,120
156,-231.2636224800997,80
157,-195.0219980757426,133
158,-209.64017177261704,76
159,-195.24906776018523,96
160,-193.2648060595547,160
161,-301.12908015062345,120
162,-190.7458588735052,77
163,-131.46308057052943,85
164,-133.96106236798508,58
165,-182.8837082480604,91
166,-138.63662508877883,106
167,-99.55924932629708,72
168,-100.0,81
169,-410.91017322917673,112
170,-145.4850949748717,99
171,-191.2536793078994,120
172,-107.36994150382553,102
173,-168.13777807054197,131
174,-100.0,121
175,-200.09509314500463,117
176,-100.0,141
177,-100.88669509391912,105
178,-129.14270583186826,105
179,-202.44039130019428,99
180,-119.09728751394032,84
181,-102.65245140098462,178
182,-197.25716768332146,151
183,-100.0,81
184,-144.23837670248918,194
185,-98.51266543262523,75
186,-103.29857838750216,62
187,-113.19051301531867,103
188,-112.0181841284542,107
189,-114.51167970501916,109
190,-118.38434566640095,107
