,Scores,Episode length
0,-83.40032935205727,79
1,-238.85061178976233,91
2,-125.92551979609439,100
3,-383.4179480154707,77
4,-130.2685977516493,84
5,-214.16673541593315,152
6,-222.50249625112906,56
7,-273.0654538308586,79
8,-269.01298069925383,76
9,-330.07074668695185,79
10,-135.72709526749568,64
11,-197.67104489358456,90
12,-110.43890526140217,63
13,-87.89416758304313,102
14,-189.45194399735024,68
15,-222.15439833116272,90
16,-97.68101480543154,97
17,-112.84280277105799,62
18,-225.86342141918487,59
19,-267.7965435477615,74
20,-102.1505015731423,82
21,-196.39089617460974,87
22,-213.04090899808415,88
23,-145.6228449262831,65
24,-255.76369176818653,57
25,-111.93332784156055,62
26,-198.96870689576758,88
27,-270.368886240056,75
28,-225.65255658675085,97
29,-252.5660885213686,74
30,-230.79159217193208,92
31,-105.0250576587978,102
32,-202.70524943285045,93
33,-143.17954129948714,126
34,-206.72211009091814,91
35,-108.35584785842528,102
36,-89.18177749639263,154
37,-153.2295033658208,85
38,-100.0,81
39,-167.53471911968433,188
40,-228.45339716514206,74
41,-114.55279002627692,143
42,-108.40371480790552,62
43,-193.5989684691249,111
44,-136.73281611658896,106
45,-281.1018208131404,79
46,-205.845026908235,137
47,-176.4984049832337,87
48,-252.0539809945115,98
49,-156.58885029541824,152
50,-163.0985880977993,87
51,-185.83154851570163,74
52,-140.37020248903576,85
53,-117.11063245345974,204
54,-155.8330023106871,87
55,-208.85080189754072,148
56,-92.45448994826863,106
57,-179.31395546343623,69
58,-292.04906428710706,78
59,-119.52403253904892,63
60,-219.17055140272305,75
61,-200.4449110174108,98
62,-213.78841554724727,71
63,-169.00532195720461,91
64,-100.0,81
65,-110.78068903098897,122
66,-122.57455779501204,144
67,-106.64413273920016,142
68,-224.96269420439108,91
69,-100.0,101
70,-104.42081340355051,102
71,-115.14175123225581,104
72,-149.18412837506548,170
73,-76.06785502953244,69
74,-100.96490124327813,85
75,-135.89361786712402,85
76,-17.027745388609233,86
77,-146.4308287135092,106
78,-76.8038312161926,70
79,-135.7660073756343,109
80,-202.01624146036534,152
81,-185.2552549677432,72
82,-237.36654494619353,77
83,-88.86933348459988,112
84,-128.0480908508985,105
85,-176.8317835805536,239
86,-231.7550287906355,78
87,-117.84034212807796,63
88,-175.89417182129284,88
