,Scores,Episode length
0,-89.54748447850704,88
1,-108.96903974662261,105
2,-104.9494580156934,89
3,-100.0,81
4,-219.88201870014302,177
5,-226.1180934454448,74
6,-149.95494258296497,104
7,-100.0,81
8,-256.9728270956084,93
9,-245.11776232460454,58
10,-100.0,81
11,-100.0,61
12,-220.21366255085667,72
13,-188.76396389469977,89
14,-265.4243552620204,93
15,-314.02187487778923,79
16,-205.69512848052955,70
17,-330.0311010225163,60
18,-327.1998511942664,79
19,-236.5832324198837,59
20,-232.55974095011362,55
21,-144.0107916093235,64
22,-266.33982467479143,91
23,-162.52734035868946,67
24,-112.43598780773439,62
25,-139.32398092949052,64
26,-133.57192614072724,64
27,-114.4430370139334,103
28,-161.77968589697406,106
29,-110.18258737041428,82
30,-174.93083223870713,150
31,-276.2494328864601,78
32,-122.48035558176949,204
33,-141.55390898509944,86
34,-101.83690765867604,102
35,-178.20475406218577,112
36,-131.2624895366022,84
37,-136.56781334086762,93
38,-125.42028298159548,123
39,-148.52169287943494,128
40,-181.32208486408683,154
41,-100.0,181
42,-108.2343586531338,82
43,-111.31619254546506,102
44,-153.7678823007199,109
45,-131.98390301329854,106
46,-266.06996020069676,98
47,-176.66288617257604,110
48,-100.0,81
49,-189.5814864798287,155
50,-166.22703555351356,89
51,-198.470177596957,70
52,-195.5283952919238,132
53,-185.42097488718963,88
54,-210.9915840126197,114
55,-105.69673705346354,62
56,-141.61436720667533,63
57,-169.022228518953,69
58,-226.33857132772823,91
59,-155.75998249673935,88
60,-181.67602504779063,112
61,-214.05330351059274,73
62,-123.19341777832697,104
63,-150.76554210599735,107
64,-183.5118550679348,150
65,-127.80097956745256,223
66,-208.2430604796455,200
67,-100.0,201
68,-179.62100930558404,91
69,-127.4076770185688,105
70,-95.08646241481217,88
71,-155.6759337038634,89
72,-182.0023037707802,92
73,-210.4619271636387,80
74,-156.88439694207682,107
75,-42.686694287555326,84
76,-95.52773155991807,85
77,-217.26185906735924,98
78,-194.62070288833394,113
79,-182.93489248794654,137
80,-241.0964636910282,73
81,-172.1392703955428,96
82,-100.0,81
83,-244.79675195965137,76
84,-125.73053650509839,64
85,-237.85875440359968,76
86,-144.9347535501547,105
87,-117.69485696298266,62
88,-185.63918675153548,60
89,-233.45911507355325,71
90,-249.0924373447472,80
91,-94.5358825917752,72
92,-221.09033201959517,77
93,-149.90091247748933,88
94,-168.3825532112685,110
95,-160.86984988217182,107
96,-160.3757406194583,125
97,-109.00158365099374,83
98,-108.90462349346245,82
99,-97.47422227502436,58
100,-158.83634993301877,91
101,-137.67763256386107,97
102,-100.0,61
103,-75.7003634581,134
104,-178.51083328623665,74
105,-160.7181739824975,152
106,-116.9309220243129,88
107,-95.61660535035197,82
108,-199.4244753349086,100
109,-127.23395732528284,86
110,-182.37779151993914,100
111,-153.5952626190732,148
112,-226.55958494209008,95
113,-125.34110753523215,99
114,-118.61822318787918,83
115,-299.9759311172376,80
116,-82.21880601536054,91
117,-178.10286505891187,89
118,-172.5877761525877,128
119,-115.45894440889205,83
120,-99.2380327179967,95
121,-168.05461062715253,168
122,-246.08535702976397,96
123,-150.52298103001135,191
124,-174.26424512044264,109
125,-100.23157948551776,82
126,-127.5923267446396,86
127,-114.14242795589969,128
128,-164.95547056747978,178
129,-131.52296215000868,107
130,-95.57589305722125,74
131,-118.49664999736517,84
132,-108.57886132590276,143
133,-177.5567536549143,171
134,-100.0,81
135,-101.13715546017448,83
136,-89.9187247122927,100
137,-58.85115571374812,88
138,-235.14597635334974,136
139,-211.47327155839193,211
140,-132.10881234147217,106
141,-168.4641563561472,92
142,-128.22260742153983,128
143,-109.91016078871642,104
144,-170.06317997242706,106
145,-215.17815230777134,120
146,-108.17246450298012,162
147,-100.65928992952819,113
148,-131.3009802644153,142
149,-94.7706491122434,166
150,-100.0,101
151,-190.9287003445583,133
152,-226.76889199083422,179
153,-147.38483305247019,111
154,-123.96842014870016,148
155,-166.13277827670396,89
156,-184.3973569456628,145
157,-215.1704482906323,92
158,-234.18092848838015,115
159,-108.74262642493683,107
160,-219.45334345681908,113
161,-113.35786294158065,84
162,-247.06958496048034,140
163,-100.0,121
164,-165.43792001684852,108
165,-83.35864540914733,144
166,-159.73939164368196,90
167,-129.7684752038379,170
