,Scores,Episode length
0,-88.42560241577704,64
1,-159.56649363927278,92
2,-62.75654816212108,79
3,-225.9163843116008,114
4,-264.53220253452844,178
5,-134.41676468891802,163
6,-297.3783936189933,100
7,-173.26540762533995,67
8,-219.2707838125013,58
9,-100.0,101
10,-195.35501837896157,89
11,-184.54808281698809,69
12,-166.5785326337081,67
13,-243.09209534593384,91
14,-124.286197103397,63
15,-165.1820445427873,67
16,-150.26402076933616,80
17,-190.1837527483849,74
18,-156.34755755635547,117
19,-120.26346155969264,63
20,-188.62905611539918,88
21,-227.6823443049736,57
22,-166.2481934778745,51
23,-121.85417319878007,63
24,-100.0,81
25,-100.0,81
26,-280.3165889821453,100
27,-100.0,101
28,-280.0487281333628,80
29,-266.67260346256813,100
30,-130.14567736120694,85
31,-142.5345970198473,90
32,-114.6120029316877,85
33,-100.0,81
34,-222.2468195099928,94
35,-89.7820280421094,117
36,-160.48653012952985,132
37,-146.6511347631445,125
38,-262.4819382719325,100
39,-131.92172835165292,125
40,-98.61591471336882,163
41,-30.253866625130954,109
42,-325.50350005297514,80
43,-304.5585010042071,99
44,-155.24049280482527,83
45,-236.33537090044052,116
46,-176.3231821409543,108
47,-171.66764348722916,67
48,-158.36504076225884,110
49,-124.36112594335778,84
50,-277.96510783832144,120
51,-202.5131127926168,132
52,-220.02678262077762,79
53,-111.76628514882673,122
54,-238.16538924841487,115
55,-194.1297689130051,92
56,-228.6922968029747,73
57,-119.76574712424741,63
58,-53.43467002488539,90
59,-260.82478912573106,58
60,-264.138677562834,76
61,-128.29116828623802,64
62,-100.0,81
63,-357.81645865063444,76
64,-173.25378335539136,214
65,-244.38502410354687,131
66,-123.61593521410165,103
67,-228.18890052241724,93
68,-121.42120269188204,165
69,-191.82644304961474,216
70,-110.65594343833148,259
71,-74.35176442567543,108
72,-191.90991514591258,67
73,-247.9611760010482,78
74,-279.6048184316774,78
75,-186.94341131552744,96
76,-198.17234961046256,91
77,-202.07353245788227,91
78,-231.01504539179743,80
79,-211.95655190416414,136
80,-221.25831495304863,179
81,-140.6726939066222,164
82,-141.76180792297623,148
83,-376.374791502726,78
84,-157.92780998337054,66
85,-173.06189748554831,73
86,-191.72313214038644,110
87,-138.81262400912004,57
88,-256.1539512293532,60
89,-214.53360822084204,97
90,-138.21769744871585,87
91,-89.8659968569035,68
92,-66.39876741419262,92
93,-170.57334106427882,92
94,-166.8479471604386,120
95,-150.20114419560238,147
96,-107.25264605066127,105
97,-146.6296216254886,98
98,-105.23468313049266,54
99,-134.81574569980484,111
100,-173.22904562872304,117
101,-117.26681708453403,127
102,-100.0,121
103,-61.31390983597676,127
104,-92.24042697649256,82
105,-104.67366826521746,123
106,-119.57490909607176,163
107,-154.29675505528348,238
108,-125.6551014367383,94
109,-82.73187939574217,85
110,-134.10218704437278,195
111,-78.89607849969528,65
112,-173.91402672083697,85
113,-191.8375965171459,92
114,-205.53223925584092,92
115,-100.0,81
116,-119.76401529592985,103
117,-124.58529839224161,84
118,-180.72116977521483,176
119,-95.42289282049215,84
120,-135.44403483679207,92
121,-210.08961956643896,96
122,-156.9317716032372,130
123,-119.48205314096033,103
124,-195.61869660442008,210
125,-274.3153817278408,111
126,-244.70408310864573,138
127,-235.42335118360907,157
128,-149.68610686756097,127
129,-195.4198204025816,133
130,-145.38722497185645,96
131,-240.81765113451195,93
132,-169.85575192509523,91
133,-91.62356992363684,168
134,-165.6352337712633,130
135,-203.0689052911485,115
136,-173.59612888175408,115
137,-111.39990301082918,133
138,-72.20974726409614,89
139,-100.0,141
140,-69.97917047579847,113
141,-180.2925992358487,96
142,-102.30722170203512,102
143,-100.0,101
144,-74.36057761658579,195
145,-108.62655784153701,122
146,-132.8280987999924,147
147,-192.60641141017504,200
148,-241.18957477047155,138
149,-213.94494764875122,258
150,-252.07476147195328,99
151,-147.34997340320723,175
152,-146.43765604883998,187
153,-145.3631184927961,92
154,-182.08484822393382,154
155,-125.5252599714629,124
156,-83.73337118506534,64
157,-139.85400748871217,102
158,-110.70974600615786,76
159,-134.61726386809607,86
160,-148.3116240708268,86
161,-158.48800435848088,110
162,-192.14955042183797,111
163,-214.6524810327237,116
164,-228.12695464994349,98
165,-89.94150204367031,82
166,-210.15440265911081,114
167,-143.80582361750996,109
168,-161.77273623609472,96
169,-179.96728196054977,374
170,-148.91110975675647,103
171,-172.03802437577673,112
