,Scores,Episode length
0,-90.83041590941221,72
1,-88.57499944190224,63
2,-113.90727059406595,135
3,-138.14942768762182,125
4,-367.91421087191776,317
5,-226.94727048148968,92
6,-6.655931131708002,84
7,-227.82188938512303,94
8,-306.4483725787877,79
9,-100.0,61
10,-315.36379068511405,79
11,-298.7719119973275,79
12,-28.350306265627438,97
13,-116.47880390570134,83
14,100.19357390421303,84
15,-269.9604251479291,59
16,-193.59255357455407,88
17,8.876479041458566,84
18,-136.3913293907268,64
19,-116.58104881317873,83
20,-248.69965719233542,91
21,-25.73750330499675,74
22,-212.35156270330853,72
23,-214.36268222915123,60
24,-144.6577094610165,65
25,-274.6807915107969,78
26,-242.8108435443066,137
27,-236.13276697350966,91
28,-114.65046991570486,83
29,-140.29265648889304,189
30,-223.31300480410872,96
31,-111.5285757507305,126
32,-180.008875960573,153
33,-115.4429548811091,183
34,-166.1717429840807,68
35,-236.87344444748072,77
36,-164.14223711065998,127
37,-176.6162854278495,128
38,-262.19176563457984,96
39,-175.5688960438929,108
40,-241.4813812245939,119
41,-112.06099169205174,124
42,-145.04708639085004,127
43,-225.9282879263235,115
44,-224.387488858918,95
45,-122.15175889334508,143
46,-117.2330250836133,83
47,-264.23835899208467,80
48,-109.40209513618986,162
49,-196.68010790688555,159
50,-160.50669735705026,69
51,-183.60543732675916,89
52,-130.34018560878582,63
53,-159.57595106361632,88
54,-145.95739478763244,65
55,-14.465046684986874,98
56,-166.68322282107613,71
57,-224.047549069862,95
58,-108.8233552422319,124
59,-255.8840354196397,75
60,-165.44295588861172,108
61,-145.69181725228046,109
62,-130.666622755302,84
63,-161.8163790838742,88
64,-118.28760869858536,158
65,-163.26237433406624,137
66,-158.48229586886242,188
67,-75.16470911170231,105
68,-195.38654918688104,97
69,-263.38237047621,73
70,-140.1728699087402,63
71,-28.164560896179978,110
72,-236.8121890076219,68
73,-201.6144164855869,116
74,-218.92058610153578,136
75,-209.1310045283093,134
76,-88.22814184821969,72
77,-229.9868341377195,113
78,-214.48976799275235,72
79,-103.59293280097373,83
80,-140.04993653157675,106
81,-131.4366590992274,85
82,-77.15826967312516,114
83,-118.95486813133023,83
84,-100.0,101
85,-140.44508295416085,69
86,-246.67119345095853,78
87,-123.03904381158179,56
88,-182.85271116577064,77
89,-108.21368502196358,82
90,-153.27090451274788,187
91,-253.5678610163432,98
92,-123.80478992024979,122
93,-139.31856219070528,86
94,-153.06243161415844,69
95,-125.78481823183763,104
96,-168.35817396360397,110
97,-85.06618807808442,86
98,-151.7675424036123,114
99,-177.42742945849722,79
100,-105.9135561870824,94
101,-273.9051589775087,96
102,-178.51581004240157,112
103,-215.58063552939456,96
104,-139.45351817486173,144
105,-189.0125114439727,97
106,-107.60226909943245,69
107,-128.5571970068115,104
108,-76.43061142880335,299
109,-85.1154355669072,118
110,-121.34926989112009,123
111,-252.00172306499283,96
112,-97.6964123005072,82
113,-110.24028573985065,142
114,-230.81681728263356,96
115,-115.10688234121896,82
116,-143.57325634933795,160
117,-197.50496615616683,90
118,-233.89544553187994,89
119,-169.58766366098962,110
120,-167.70813517476154,152
121,-179.72221841030216,257
122,-100.0,121
123,-236.04112658421525,157
124,-298.9620035768475,93
125,-52.685870181555906,159
126,-125.09587550227035,106
127,-163.8718967479823,148
128,-163.05412228987873,69
129,-171.4354707405651,138
