,Scores,Episode length
0,-159.31866469934073,97
1,-173.72404003538358,138
2,-84.89135644760174,78
3,-117.84273087324272,109
4,-223.9588263495704,77
5,-134.40710414272155,84
6,-138.70930560902207,85
7,-245.9897985986957,78
8,-278.6785701989187,60
9,-146.1312531624083,65
10,-283.4592058812383,75
11,-162.63524270821358,140
12,-210.69058244483125,60
13,-276.6553377457087,78
14,-203.16557033809255,106
15,-344.411093357018,98
16,-246.323749295828,55
17,-232.86368524079344,57
18,-246.3252349664792,76
19,-62.350286779900685,118
20,-208.02888711777703,90
21,-226.20934947502565,73
22,-142.93847454214824,64
23,-180.1158367654138,67
24,-172.4804660764595,68
25,-100.0,61
26,-111.3249367666152,62
27,-209.62671568711616,71
28,-275.07619789460733,76
29,-238.39759195964768,70
30,-162.1055023266646,67
31,-151.89074608093736,128
32,-217.43611699923366,113
33,-124.7741984084293,108
34,-181.9895311080155,88
35,-173.73901772390582,90
36,-210.8254527855138,90
37,-243.57793981426374,96
38,-206.7590798968403,113
39,-109.51928429890143,204
40,-170.81689264202208,89
41,-200.99590302996836,111
42,-198.48384771525542,71
43,-260.3961705445705,116
44,-131.5388135499915,125
45,-239.91033313575676,91
46,-194.52417859825016,152
47,-200.77236924839394,113
48,-290.2173570968252,98
49,-112.74338843935679,122
50,-100.0,81
51,-238.6807117228428,114
52,-152.43741396572312,97
53,-100.0,161
54,-64.16658046404356,170
55,-142.30738765409257,127
56,-127.76827773399815,84
57,-181.27238412133795,59
58,-200.89547518629672,72
59,-257.50019822174596,56
60,-264.39432817741965,76
61,-131.33069384152788,63
62,-110.07094644628705,82
63,-98.48431518377899,79
64,-206.0287421351414,92
65,-132.5083906436691,66
66,-161.92558454567563,87
67,-125.55480213066011,165
68,-75.6352052537587,111
69,-297.3353628732938,78
70,-157.77699385665153,213
71,-127.3644162170348,100
72,-99.69818165648114,142
73,-159.84740741063655,96
74,-114.49971534456986,91
75,-213.1542770645493,116
76,-144.35073465346056,106
77,-218.40999501892128,96
78,-226.837832020924,98
79,-196.36686082413158,92
80,-146.6944440186121,85
81,-292.5153876524825,92
82,-132.85497935003264,167
83,-135.41679259359458,144
84,-97.54845809902672,242
85,-216.552994004595,112
86,-117.24224944519287,83
87,-208.58837678433585,92
88,-216.68952996901837,71
89,-200.56180830041336,71
90,-184.87921806026105,95
91,-171.8165757561965,115
92,-127.47354155810571,104
93,-106.50935117959983,95
94,-227.05236222834714,116
95,-192.22506979736085,139
96,-170.37938320622413,120
97,-106.46333936444219,69
98,-97.40710970621323,75
99,-107.40747417907355,58
100,-202.57577478562177,76
101,-179.19550830786136,80
102,-99.37458008722359,162
103,-133.9110808667952,92
104,-194.06768657304815,114
105,-95.93743481145782,128
106,-77.81134254497167,67
107,-164.34053128259933,207
108,-118.6416832402574,126
109,-225.7925438207851,96
110,-124.08316340193184,128
111,-138.9528729553251,90
112,-81.95806980097282,94
113,-136.6259182214525,144
114,14.352605032027242,94
115,-185.28000261218358,112
116,-120.48723620813882,126
117,-132.86788070262344,86
118,-183.53701953531308,94
119,-152.15355231795323,115
120,-79.70956637573558,85
121,-215.09850471616264,95
122,-188.75267690074992,154
123,-131.67710224356935,125
124,-101.98252960158102,128
125,-107.80398503767543,159
126,-100.0,121
127,-267.39300125481697,95
128,-221.21369269051368,89
129,-124.83786367568993,147
130,-199.88563145513825,98
131,-108.31717431209954,82
132,-127.63313364215767,85
133,-164.70091003595044,134
134,-176.5819656663149,109
135,-188.06830295558512,80
136,-152.8410845634034,92
137,-100.86534353690831,222
138,-110.72194892562689,85
139,-82.92257494611201,197
140,-112.46697515040016,104
141,-149.82896738057661,207
142,-144.5423859026891,96
143,-112.77982947701413,78
144,-95.16355830779669,110
145,-161.05670353594203,184
146,-69.0602945368448,89
147,-215.64713774315692,75
148,-132.33290125608244,173
149,-178.34375961293108,96
150,-100.0,121
151,-209.95859769948407,117
152,-162.55406052270848,77
153,-210.98704853974678,97
154,-125.96832044409012,108
155,-223.3611037217719,79
156,-120.75116851001414,123
157,-152.78609365850173,107
158,-138.6629168731955,98
159,-100.0,141
160,-105.70153355778473,109
161,-234.4509245986348,78
162,-150.56217366533127,107
163,-187.99492754505403,117
164,-209.01058737545887,99
165,-187.85085277227608,92
166,-178.4640008360788,111
167,-258.94506293462393,78
168,-176.7098457063076,109
169,-254.57558754416013,97
170,-51.160987497250865,68
171,-227.90055829699588,99
172,-99.12852298564272,83
173,-100.0,101
174,-119.1769936005738,96
175,-143.86066680031354,125
176,-147.1296659039869,90
177,-157.30317017972416,94
178,-193.55317041975763,112
179,-106.29914268038931,138
180,-194.88653196231516,120
181,-160.56634413881028,156
182,-110.55513319122603,143
183,-64.69130748129938,106
184,-94.9325280378489,104
185,-177.44654768585121,92
186,-133.30940223964814,88
187,-99.04909863078475,159
188,-193.29464910211016,115
189,-121.29698612854801,87
190,-96.88757931194958,159
191,-191.49263194967347,111
192,-86.39584730642179,65
193,-189.06849536940967,130
194,-129.68558884689446,83
195,-119.15641740999887,115
196,-130.61001351927473,113
197,-231.00274165062896,112
198,-256.1420653567885,178
199,-112.97778081796014,166
200,-12.449666203760184,1000
201,-178.70659969637728,256
202,-112.15812816381114,106
203,-69.54216170054444,255
204,-150.8220973203552,137
205,-167.9553926184836,117
206,-139.19579701150158,148
207,-93.78229844958766,99
208,-149.82118710530858,93
209,-187.78954912631497,190
210,-159.7746395473113,100
211,-133.85425012839994,91
212,-136.4435098791372,168
213,-160.5910004444229,119
