,Scores,Episode length
0,-85.48378365369844,65
1,-100.0,81
2,-84.57739237097549,87
3,-85.51100126148938,105
4,-252.43026328384354,79
5,-197.93768119271328,139
6,-161.3983295455498,72
7,-149.11722316677913,66
8,-199.78526153046005,90
9,-234.80236515828435,73
10,43.88072846646631,94
11,-224.33221834569542,89
12,-204.6645772831734,70
13,-235.85462593641319,72
14,-135.26391799204112,104
15,-277.25700396350703,59
16,-229.25810821685917,72
17,-144.73701159676898,85
18,-227.84039603288414,74
19,-267.42809022272615,76
20,-112.95819267607934,62
21,-271.06420107305894,77
22,-204.44897899428128,71
23,-274.50682865865076,57
24,-216.93028370426936,71
25,-177.72536438664076,68
26,-280.57041253521254,75
27,-292.64236780195233,76
28,-173.24421483350147,88
29,-236.23946956522005,73
30,-187.5311409278709,89
31,-163.06335176290037,130
32,-153.56966950561812,107
33,-228.9211690001428,197
34,-200.90973707298363,72
35,-122.70137520272412,102
36,-282.24576187852324,96
37,-126.91117108016465,124
38,-170.43352951536298,89
39,-200.17236799390017,110
40,-267.82951485064814,78
41,-174.72338707925223,90
42,-146.52978072662842,105
43,-256.6437522573591,78
44,-256.56718447844287,73
45,-114.1656694085612,83
46,-168.02268352550317,86
47,-99.66109265807243,104
48,-183.75722868397088,89
49,-231.975940912526,73
50,-181.10738504854612,90
51,-120.99759085113234,83
52,-120.72840825831702,144
53,-112.63295665751396,103
54,-193.7494457941047,93
55,-186.54960588485525,129
56,-2.812251412313003,132
57,-259.4627371590732,97
58,-204.02163503080618,99
59,-203.15307790675018,90
60,-270.09168381469055,95
61,-220.36889938969568,71
62,-193.97355626206996,72
63,-98.72352446667097,62
64,-246.14959131516503,73
65,-150.7817653292264,108
66,-114.78766967153827,123
67,-109.59845169831765,122
68,-232.2394945136261,116
69,-171.56010922827457,109
70,-267.7364919818911,118
71,-188.47403376141773,78
72,-110.63395846001379,164
73,-219.6431384987797,75
74,-325.5147593630119,99
75,-100.88815361322762,113
76,-97.87469184007881,139
77,-104.90304372045424,62
78,-121.69454009358014,84
79,-177.7472114236492,89
80,-100.0,101
81,-115.6241212847199,143
82,2.505566285629783,103
83,-213.73762799232694,94
84,-183.22379152490595,110
85,-257.4099162687321,96
86,-113.6817123574536,224
87,-152.4987983841053,108
88,-224.10277926473054,91
89,-100.0,61
90,-223.29950047870415,76
91,-100.0,61
92,-109.80729212728528,103
93,-185.2681511151123,76
94,-177.81575174004377,89
95,-67.8834633008152,112
96,-307.36694460255154,138
97,-189.14040684258913,97
98,44.67538691571758,218
99,-112.98059675435381,67
100,-103.5292197201589,74
101,-180.85686861955548,95
102,-83.52854334064159,72
103,-104.82072633118126,74
104,-117.69505210446329,125
105,-107.41131456734938,122
106,-82.72409105262423,75
107,-152.01797925227027,71
108,-162.7973403611015,99
109,-214.1706372590551,113
110,-141.56722106153313,105
111,-91.77018613356807,146
112,-170.30276753180814,105
113,-124.65581385259031,96
114,-103.8632188534699,82
115,-82.52781200202764,104
116,-80.11858630585142,122
117,-120.01481656032108,102
118,-220.1796495111945,156
119,-106.95602716888293,102
120,-169.0629014955411,152
121,-185.4114598125247,88
122,-121.22115146418824,124
123,-84.06517653110681,143
124,-263.23155644295775,120
125,-255.35689135448686,98
126,-203.68018089717197,91
127,-134.82979956510763,198
128,-119.41403088008164,192
129,-187.71751231791526,74
130,-218.81142883306313,96
131,-82.30090817515091,104
132,-141.07628162055968,105
133,-104.18764490471597,82
134,-204.86048322192124,78
135,-109.70376746336665,182
136,-279.0862225766534,119
137,-172.62365879730572,109
138,-185.75173855346293,177
139,-98.57181601012529,164
140,-128.4863765543289,167
141,-84.36060902595824,156
142,-102.34264386547528,102
143,-111.19319687334722,162
144,-115.19276996102457,134
145,-119.75984159223762,117
146,-100.0,81
147,-103.38526012914089,142
148,-178.4607594970239,80
149,-137.82758956546323,151
150,-113.57620827509182,124
151,-101.37916286692689,82
152,-165.97997403187782,79
153,-114.48952779347357,100
154,-142.86927323230194,116
155,-115.97735332991398,230
156,-120.09682726779252,144
157,-220.29665509789004,137
158,-167.77997095702264,90
159,-109.21930465316966,102
160,-156.74465798099288,127
161,-158.23971202701506,88
162,-119.14150229425402,92
163,-244.86865782180737,118
164,-157.38246361083645,93
165,-153.9100339818816,107
166,-118.09027421791467,126
167,-121.33531820235561,124
168,-177.76115799127254,113
169,-143.5078016588815,89
170,-149.94580575826063,88
171,-209.11080426471574,56
172,-152.28709745818932,87
173,-204.23387884394788,131
174,-112.92050892333775,83
175,-117.02402510326026,185
176,-89.77010104140695,86
177,-126.0953768999098,122
178,-213.75852805104043,115
179,-127.04465981185784,104
180,-99.0679296402184,75
181,-223.90841377657603,139
182,-81.64264287558899,80
183,-146.37050399059177,120
184,-193.5835223006564,178
185,-230.43905831860414,178
186,-138.64365371652008,128
187,-206.0078303984729,98
188,-136.37106451344948,92
189,-152.54370931786417,168
190,-164.81560894301253,114
191,-190.2317781265935,128
192,-179.64236768187152,154
193,-159.25631621275141,94
194,-100.0,141
195,-188.59609225450714,149
196,-57.36751428795002,131
197,-100.0,141
198,-126.17169354704077,118
199,-150.6142811488332,151
200,-141.50923584528235,120
201,-143.61824746062348,125
202,-75.48754230993987,110
203,-50.91030589859473,79
204,-148.0403358892433,137
205,-92.64494640516594,99
206,-100.0,121
207,-61.36024432234558,190
208,-60.31758082282389,92
209,-154.68708148370573,117
210,-100.64422270075214,99
211,-132.5169083207571,180
212,-186.4201678406327,149
213,-108.24412484295596,105
214,-155.13062434917546,112
215,-58.45886176157458,199
216,-144.84483518159894,109
217,-153.3369790371374,149
218,-144.11494403066754,286
219,-114.5199743695943,222
220,-35.93686868747707,117
221,-123.75870240711664,88
222,-132.68114231134984,172
223,-69.6805560459859,146
224,-100.0,101
225,-89.17497835963158,305
226,-87.1868124652463,97
227,-99.57021117191377,105
228,-91.88596352195395,88
229,-193.29554369830421,188
230,-105.09830124930885,102
231,-100.0,241
232,-150.39597834023027,92
233,-132.72386736914055,123
234,-113.45550254976182,163
235,-119.64625170510936,133
236,-158.60025351719906,227
237,-71.73789655304552,67
238,-70.04571660343015,72
239,-144.8839785322238,130
240,-165.8825046312976,80
241,-152.1243562701578,215
242,-85.09756387563932,203
243,-125.58964003521189,144
244,-196.77909411220404,111
245,-259.29355058788366,158
246,-120.94922804692278,99
247,-104.31506694013733,163
248,-206.462150648486,130
249,-178.43182883555934,204
250,-99.31598954860041,83
251,-126.40562845674177,242
252,-135.43293518511993,99
253,-129.40042392173385,149
254,-100.0,161
255,-100.0,81
256,-132.63171133648427,148
257,-118.02890755245137,83
258,-158.12511952481023,131
259,-117.10258606608583,207
260,-60.455628176000566,107
261,-140.6581728182943,177
262,-226.34554454323353,76
263,-126.32319044886076,58
264,-137.05429723827558,105
265,-120.24900610884657,99
266,-156.3705019866248,145
267,-86.36111916240321,128
268,-4.357672949557426,100
269,-44.06963691346041,134
270,-114.91296439819578,202
271,-100.0,121
272,-165.31406750695012,311
273,-110.28091226055164,163
274,-6.657222149056736,90
275,-102.0258103009938,88
276,-197.09913725459091,119
277,-56.7050644394874,160
278,-31.52832691749765,192
279,-80.35001224174458,103
280,-132.18431767071965,364
281,-100.0,141
282,-24.297440489032795,153
283,-100.0,101
284,-90.40637299638361,105
285,-55.665612588440965,280
286,-161.57926929044774,260
287,-80.98022386963723,293
288,-127.83728406675448,205
289,-97.40822999760273,139
290,20.893492385730497,1000
291,-59.84634668174362,176
292,-64.71430338270466,120
293,-97.2749031586508,111
294,-88.55566844550304,170
295,-100.78711973427497,130
296,12.747152798775705,1000
297,-72.35694690920819,125
298,-1.6486178173992005,1000
299,-66.65023162699498,207
300,-100.0,201
301,99.87192825659517,492
302,-104.0342184800629,183
303,-50.48176291082051,211
304,-102.95469278300459,306
305,-14.708210488926973,1000
306,100.00262576890132,816
307,100.00001119056313,806
308,-3.5124160302717895,1000
309,99.99999974336596,782
310,-0.17316857976180366,1000
311,100.00324296649488,977
