,Scores,Episode length
0,-115.84408787093682,108
1,-152.38274664226248,112
2,-123.57982318959861,84
3,-183.3007260104418,93
4,-211.49392425502424,132
5,-207.56512467148644,112
6,-100.0,61
7,-262.53040273646513,75
8,-248.5353217323722,58
9,-335.61693166934026,79
10,-265.95531781888735,74
11,-260.60998148755715,77
12,-301.32492251774846,80
13,-161.9060280090502,66
14,-51.741444568787216,90
15,-212.23300861536035,72
16,-207.2679416172142,59
17,-264.4843545433417,77
18,-112.93127777611338,62
19,-144.03020008991854,78
20,-305.1597327858127,59
21,-100.0,61
22,-215.68500916646948,88
23,-177.56294979887494,73
24,-340.61477291488603,80
25,-376.0130893591828,79
26,-107.85275408695959,75
27,-109.2843961220158,62
28,-255.4571348196361,59
29,-111.37833368982395,103
30,-204.41091084866224,71
31,-234.4667096900257,117
32,-258.7081992582835,75
33,-110.41847668711743,182
34,-257.0275799238191,135
35,-273.3119137903751,79
36,-204.5751994629759,173
37,-172.8221241568172,88
38,-138.24018170593564,150
39,-105.52815869516455,122
40,-147.35531354780198,127
41,-196.42637225070507,129
42,-100.0,121
43,-144.558033913918,86
44,-112.49994360257044,82
45,-270.2401488328301,116
46,-220.88089239493684,95
47,-121.10052714704467,113
48,-268.2332980969535,99
49,-159.17298532323397,106
50,-212.7873799847721,114
51,-111.48963172808584,110
52,-267.4405045827423,77
53,-169.69616794954192,90
54,-148.34378164039543,105
55,-218.37644435226014,72
56,-100.0,101
57,-172.39169643645198,69
58,-205.78172650040608,72
59,-161.93272364416967,68
60,-242.53523064088787,59
61,-265.8290791297255,78
62,-103.51479792766781,63
63,-135.22981378530028,84
64,-183.20670819912866,137
65,-154.08139937787396,67
66,-287.2412060892907,139
67,-249.55235137532367,98
68,-239.5157041810362,199
69,-162.7165119351419,156
70,-109.60755045064782,103
71,-120.1429758277894,163
72,-68.48726519936474,76
73,-152.96815493645633,89
74,-170.2757589674123,112
75,-111.58338048250067,83
76,-212.94925104403785,95
77,-116.81722073481244,124
78,-106.12508790663206,77
79,-116.53848924087109,183
80,-163.03092417609045,109
81,-143.76266922011013,123
82,-190.38831137345477,134
83,-132.8740571530633,89
84,-206.06937045170747,73
85,-193.53629394472512,116
86,-178.1568155849581,70
87,-170.36253842923543,91
88,-62.59805400895317,105
89,-58.68027742147503,88
90,-187.02727365357438,70
91,-126.30777542719802,83
92,-223.34749636529978,118
93,-229.16311885916153,76
94,-131.906650952482,104
95,-95.33555633431652,102
96,-84.42670410088337,125
97,-286.002903695956,78
98,-118.60191115698906,123
99,-104.08751994697334,82
100,-104.86588052773948,84
101,-179.766065262241,60
102,-96.86137764121382,105
103,-188.64347866807736,135
104,-134.75999162017956,187
105,-58.41130328475655,92
106,-74.69609615581192,105
107,-118.87330198740733,102
108,-110.04888842916289,203
109,-121.88691846043574,84
110,-159.39649146027136,149
111,-96.29438589566512,102
112,-84.79168516491079,135
113,-214.44181263368966,175
114,-182.9001847588027,92
115,-174.9390080472469,111
116,-180.87328484634028,149
117,-262.3752262966245,110
118,-100.0,101
119,-139.42630220543253,150
120,-200.42672727815116,115
121,-157.97040150905582,90
122,-132.9843728298811,104
123,-119.24824013958606,108
124,-127.655968804412,111
125,-139.2318036431618,75
126,-114.05347226975776,105
127,-197.24357678636807,105
128,-141.55167580774253,86
129,-197.05384037063607,119
130,-143.50346097725395,110
131,-100.0,121
132,-139.36406339422538,106
133,-127.08164329005045,124
134,-111.75284417529512,122
135,-199.10775664712855,77
136,-142.39246287799833,86
137,-169.74225074298866,188
138,-139.38345090439987,133
139,-89.86815035425413,114
140,-100.0,141
